_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
120.6083,23.69883056,J080225.9+234155,FITS,08 02 25.992,+23 41 55.79,0.014,2.1,3.62,0.141,5.97,3.12,97.4,,g,,1995.958,2450068.1,3.48
120.702175,23.69873333,J080248.5+234155,FITS,08 02 48.522,+23 41 55.44,0.014,1.92,2.91,0.138,5.36,2.14,173.1,,,,1995.955,2450067.0,2.757
238.56153333,23.6987,J155414.7+234155,FITS,15 54 14.768,+23 41 55.32,0.295,1.42,6.4,0.135,11.39,8.9,78.2,,g,,1995.956,2450067.5,2.853
197.6672625,23.69848611,J131040.1+234154,FITS,13 10 40.143,+23 41 54.55,0.153,1.0,1.89,0.139,6.66,3.57,37.1,,,,1995.967,2450071.3,3.469
133.2341625,23.69846111,J085256.1+234154,FITS,08 52 56.199,+23 41 54.46,0.014,4.82,4.89,0.139,1.63,0.0,67.0,,s,,1995.964,2450070.3,3.697
214.8671,23.69824722,J141928.1+234153,FITS,14 19 28.104,+23 41 53.69,0.014,1.81,1.81,0.142,3.0,0.0,95.7,,,,1995.967,2450071.4,3.47
131.47641667,23.69810278,J084554.3+234153,FITS,08 45 54.340,+23 41 53.17,0.014,1.08,1.09,0.139,3.22,0.0,150.5,,g,,1995.962,2450069.6,3.747
156.906125,23.69810278,J102737.4+234153,FITS,10 27 37.470,+23 41 53.17,0.07,1.06,2.66,0.14,11.04,2.51,160.2,,g,,1995.959,2450068.5,3.578
252.60472083,23.69800278,J165025.1+234152,FITS,16 50 25.133,+23 41 52.81,0.014,2.32,2.48,0.14,1.49,1.34,89.4,,s,,1995.959,2450068.6,3.51
170.7967625,23.69795833,J112311.2+234152,FITS,11 23 11.223,+23 41 52.65,0.014,7.57,9.48,0.148,3.57,1.62,116.5,,g,,1995.961,2450069.3,3.707
199.45217083,23.69770556,J131748.5+234151,FITS,13 17 48.521,+23 41 51.74,0.014,1.71,1.51,0.135,0.0,0.0,90.2,,g,,1995.955,2450067.3,2.774
117.60775833,23.69768333,J075025.8+234151,FITS,07 50 25.862,+23 41 51.66,0.014,2.68,1.83,0.139,0.0,0.0,127.7,,,,1995.958,2450068.1,3.492
150.4109,23.69751944,J100138.6+234151,FITS,10 01 38.616,+23 41 51.07,0.014,58.08,59.75,0.14,1.26,0.35,160.9,,s,,1995.966,2450071.1,3.49
165.79004167,23.6975,J110309.6+234151,FITS,11 03 09.610,+23 41 51.00,0.014,2.01,1.46,0.135,0.0,0.0,150.4,,g,,1995.955,2450067.1,2.726
149.52423333,23.69734722,J095805.8+234150,FITS,09 58 05.816,+23 41 50.45,0.014,1.46,2.7,0.137,7.52,2.17,80.9,,g,,1995.964,2450070.5,3.66
221.40685417,23.69700556,J144537.6+234149,FITS,14 45 37.645,+23 41 49.22,0.16,1.11,0.94,0.144,3.83,0.0,40.3,,,,1995.959,2450068.7,3.589
233.11168333,23.69695,J153226.8+234149,FITS,15 32 26.804,+23 41 49.02,0.215,1.35,0.71,0.184,0.0,0.0,90.4,,,,1995.959,2450068.6,3.41
170.80187083,23.6968,J112312.4+234148,FITS,11 23 12.449,+23 41 48.48,0.014,5.06,7.77,0.148,5.35,2.36,94.5,,s,,1995.961,2450069.2,3.688
193.1769875,23.69674444,J125242.4+234148,FITS,12 52 42.477,+23 41 48.28,0.198,1.14,2.75,0.145,12.27,0.0,40.5,,,,1995.966,2450071.3,3.471
154.42022083,23.69673333,J101740.8+234148,FITS,10 17 40.853,+23 41 48.24,0.016,1.22,2.06,0.135,6.16,2.71,34.6,,g,,1995.956,2450067.5,3.015
163.96221667,23.69668889,J105550.9+234148,FITS,10 55 50.932,+23 41 48.08,0.041,1.25,2.15,0.143,6.44,2.52,107.8,,g,,1995.965,2450070.8,3.604
196.368025,23.69633333,J130528.3+234146,FITS,13 05 28.326,+23 41 46.80,0.014,1.64,8.46,0.141,14.1,8.35,147.1,,,,1995.958,2450068.3,3.379
255.0576625,23.69622778,J170013.8+234146,FITS,17 00 13.839,+23 41 46.42,0.014,1.14,1.88,0.137,5.53,3.04,120.7,,g,,1995.956,2450067.5,2.867
