_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
142.73931667,9.60854167,J093057.4+093630,FITS,09 30 57.436,+09 36 30.75,0.014,1.65,1.1,0.154,0.0,0.0,89.9,,,,2000.047,2451561.9,1.148
315.14926667,9.60845556,J210035.8+093630,FITS,21 00 35.824,+09 36 30.44,0.049,2.19,4.33,0.234,7.1,4.7,176.6,,s,,2011.251,2455654.1,0.001
226.4508125,9.60837778,J150548.1+093630,FITS,15 05 48.195,+09 36 30.16,0.265,2.25,2.14,0.241,3.8,0.0,97.9,,,,2000.048,2451562.1,0.004
182.5046375,9.608275,J121001.1+093629,FITS,12 10 01.113,+09 36 29.79,0.014,2.31,3.5,0.151,6.05,0.75,49.4,,g,,2000.048,2451562.0,1.165
245.19733333,9.60819722,J162047.3+093629,FITS,16 20 47.360,+09 36 29.51,0.113,1.09,0.97,0.14,2.3,0.0,34.9,,g,,2000.054,2451564.1,0.391
315.15212917,9.60816944,J210036.5+093629,FITS,21 00 36.511,+09 36 29.41,0.014,2.71,6.48,0.235,8.08,5.78,39.7,,s,,2011.251,2455654.1,0.001
231.52385417,9.60804722,J152605.7+093628,FITS,15 26 05.725,+09 36 28.97,0.045,1.18,0.82,0.154,0.0,0.0,27.5,,,,2000.052,2451563.4,0.937
142.435725,9.60794444,J092944.5+093628,FITS,09 29 44.574,+09 36 28.60,0.014,2.21,10.86,0.138,20.98,3.83,170.9,,g,,2000.047,2451561.7,0.216
190.23417083,9.60781944,J124056.2+093628,FITS,12 40 56.201,+09 36 28.15,0.014,2.33,2.57,0.154,3.1,0.0,103.6,,,,2000.049,2451562.5,0.887
315.15510417,9.60779444,J210037.2+093628,FITS,21 00 37.225,+09 36 28.06,0.03,2.51,3.04,0.235,3.67,1.66,20.9,,s,,2011.251,2455654.1,0.001
180.81870417,9.60773333,J120316.4+093627,FITS,12 03 16.489,+09 36 27.84,0.014,1.38,1.72,0.135,3.25,1.96,90.2,,g,,2000.048,2451561.9,0.383
241.8516625,9.60772778,J160724.3+093627,FITS,16 07 24.399,+09 36 27.82,0.131,1.16,0.91,0.153,2.25,0.0,136.8,,g,,2000.051,2451563.0,0.968
