_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
138.1557375,-5.09661667,J091237.3-050547,FITS,09 12 37.377,-05 05 47.82,0.21,1.2,0.75,0.15,0.0,0.0,132.1,,,,2001.267,2452008.1,2.933
38.59075417,-5.09670833,J023421.7-050548,FITS,02 34 21.781,-05 05 48.15,0.582,1.15,0.65,0.172,0.0,0.0,64.3,,,,2009.227,2454915.4,2.456
197.57378333,-5.09677778,J131017.7-050548,FITS,13 10 17.708,-05 05 48.40,0.014,1.79,2.08,0.135,4.45,0.0,132.7,,,,2001.654,2452149.3,337.741
229.251125,-5.09686667,J151700.2-050548,FITS,15 17 00.270,-05 05 48.72,0.269,1.01,1.7,0.149,4.91,4.73,110.1,,,,2001.281,2452013.2,3.453
164.27344167,-5.09687222,J105705.6-050548,FITS,10 57 05.626,-05 05 48.74,0.014,1.25,3.66,0.14,11.4,5.49,15.4,,,,2001.273,2452010.1,1.794
37.02292083,-5.097,J022805.5-050549,FITS,02 28 05.501,-05 05 49.20,0.014,1.99,1.26,0.123,0.0,0.0,82.4,,,,2009.314,2454947.0,14.571
151.63410833,-5.09706667,J100632.1-050549,FITS,10 06 32.186,-05 05 49.44,0.014,3.11,4.73,0.15,5.21,2.96,117.1,,,,2001.273,2452010.2,1.537
31.22413333,-5.09721389,J020453.7-050549,FITS,02 04 53.792,-05 05 49.97,0.014,1.56,1.26,0.151,1.19,0.0,83.3,,g,,1997.391,2450592.2,0.009
133.8208625,-5.09735278,J085517.0-050550,FITS,08 55 17.007,-05 05 50.47,0.014,4.69,5.7,0.138,4.25,0.82,8.7,,,,2001.262,2452006.2,3.837
31.48672083,-5.09743333,J020556.8-050550,FITS,02 05 56.813,-05 05 50.76,0.014,3.34,2.99,0.152,0.0,0.0,105.2,,s,,1997.391,2450592.2,0.011
139.91839167,-5.09754722,J091940.4-050551,FITS,09 19 40.414,-05 05 51.17,0.014,1.2,1.17,0.14,3.56,0.0,142.4,,,,2001.262,2452006.2,3.841
160.821025,-5.09754722,J104317.0-050551,FITS,10 43 17.046,-05 05 51.17,0.014,1.36,5.33,0.133,16.3,5.46,10.2,,,,2001.284,2452014.2,11.502
204.75529167,-5.09756389,J133901.2-050551,FITS,13 39 01.270,-05 05 51.23,0.014,2.53,2.04,0.186,0.0,0.0,35.9,,,,2001.29,2452016.3,4.029
335.62585,-5.09758056,J222230.2-050551,FITS,22 22 30.204,-05 05 51.29,0.014,203.92,269.78,0.136,4.66,2.01,167.4,,,,2011.194,2455633.3,0.001
215.05285417,-5.09771111,J142012.6-050551,FITS,14 20 12.685,-05 05 51.76,0.014,1.46,0.93,0.153,0.0,0.0,17.8,,,,2001.283,2452013.9,3.997
144.77834583,-5.09778611,J093906.8-050552,FITS,09 39 06.803,-05 05 52.03,0.014,8.18,11.44,0.14,5.96,1.16,176.7,,,,2001.272,2452009.7,2.116
193.58642917,-5.09778889,J125420.7-050552,FITS,12 54 20.743,-05 05 52.04,0.014,3.06,4.21,0.145,5.34,0.94,132.6,,,,2001.288,2452015.7,4.128
203.92961667,-5.09785556,J133543.1-050552,FITS,13 35 43.108,-05 05 52.28,0.861,1.15,1.5,0.157,6.68,0.0,144.8,,,,2001.289,2452015.9,4.105
222.38484167,-5.09789167,J144932.3-050552,FITS,14 49 32.362,-05 05 52.41,0.014,3.69,3.25,0.136,0.0,0.0,57.2,,,,2001.278,2452012.0,2.831
165.98544167,-5.09794444,J110356.5-050552,FITS,11 03 56.506,-05 05 52.60,0.21,1.33,1.22,0.159,2.05,0.0,12.9,,,,2001.298,2452019.4,15.503
232.603325,-5.09796944,J153024.7-050552,FITS,15 30 24.798,-05 05 52.69,0.014,1.68,2.16,0.146,4.2,1.94,29.3,,,,2001.288,2452015.6,4.144
165.112175,-5.097975,J110026.9-050552,FITS,11 00 26.922,-05 05 52.71,0.014,6.52,6.77,0.15,1.9,0.0,42.8,,,,2001.332,2452031.5,19.579
230.73787917,-5.09801944,J152257.0-050552,FITS,15 22 57.091,-05 05 52.87,0.724,1.08,1.68,0.15,7.56,0.0,26.9,,,,2001.281,2452013.0,3.387
