_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
7.143075,11.51345833,J002834.3+113048,FITS,00 28 34.338,+11 30 48.45,0.262,1.63,1.57,0.138,3.22,0.0,131.4,,g,,2011.312,2455676.3,0.0
219.21294583,11.51340556,J143651.1+113048,FITS,14 36 51.107,+11 30 48.26,0.014,1.38,0.95,0.145,0.0,0.0,139.8,,s,,2000.02,2451551.6,1.323
124.15042083,11.51336944,J081636.1+113048,FITS,08 16 36.101,+11 30 48.13,0.014,1.3,1.45,0.133,3.28,0.0,129.2,,s,,2000.009,2451547.8,0.325
159.10670417,11.51335278,J103625.6+113048,FITS,10 36 25.609,+11 30 48.07,0.029,1.19,2.52,0.151,7.99,3.49,43.8,,g,,2000.018,2451551.2,0.818
212.74504167,11.51333056,J141058.8+113047,FITS,14 10 58.810,+11 30 47.99,0.014,2.39,2.5,0.136,2.38,0.0,113.6,,g,,2000.018,2451551.1,0.433
343.22651667,11.51328611,J225254.3+113047,FITS,22 52 54.364,+11 30 47.83,0.014,2.14,1.74,0.133,0.76,0.0,166.3,,,,2011.177,2455627.0,2.107
249.82859583,11.51326389,J163918.8+113047,FITS,16 39 18.863,+11 30 47.75,0.014,12.52,14.56,0.155,2.4,1.94,34.2,,s,,2000.023,2451553.1,1.33
216.24602083,11.51324444,J142459.0+113047,FITS,14 24 59.045,+11 30 47.68,0.014,1.75,1.78,0.138,1.69,0.0,149.3,,,,2000.019,2451551.4,1.114
141.28972917,11.51323056,J092509.5+113047,FITS,09 25 09.535,+11 30 47.63,0.05,1.04,1.8,0.133,6.72,2.17,136.2,,g,,2000.009,2451547.9,0.649
243.894775,11.51320833,J161534.7+113047,FITS,16 15 34.746,+11 30 47.55,0.014,4.87,6.16,0.15,4.11,0.63,5.3,,g,,2000.022,2451552.4,1.493
154.76286667,11.51314722,J101903.0+113047,FITS,10 19 03.088,+11 30 47.33,0.014,2.12,2.29,0.134,3.58,0.0,119.4,,g,,2000.018,2451550.9,0.405
235.08328333,11.51311944,J154019.9+113047,FITS,15 40 19.988,+11 30 47.23,0.014,11.38,12.44,0.134,2.11,1.03,136.6,,s,,2000.018,2451551.3,0.573
199.32177917,11.51304722,J131717.2+113046,FITS,13 17 17.227,+11 30 46.97,0.014,4.36,11.66,0.148,9.11,5.01,81.5,,,,2000.018,2451551.2,0.651
130.53170417,11.51293056,J084207.6+113046,FITS,08 42 07.609,+11 30 46.55,0.014,7.39,12.28,0.149,5.47,3.26,37.2,,g,,2000.011,2451548.5,1.768
