_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
346.5855875,3.743775,J230620.5+034437,FITS,23 06 20.541,+03 44 37.59,0.014,2.43,3.34,0.126,6.48,0.0,78.3,,g,,2009.266,2454929.7,5.001
352.7377125,3.74370556,J233057.0+034437,FITS,23 30 57.051,+03 44 37.34,0.014,3.18,2.53,0.131,2.07,0.0,106.9,,s,,2009.237,2454918.9,1.335
219.89030833,3.74363333,J143933.6+034437,FITS,14 39 33.674,+03 44 37.08,0.801,1.09,3.78,0.16,12.79,5.98,60.9,,s,,1998.528,2451007.2,19.892
185.40877917,3.74363056,J122138.1+034437,FITS,12 21 38.107,+03 44 37.07,0.016,1.44,2.19,0.153,6.79,0.0,102.6,,g,,1998.511,2451001.1,0.481
198.759425,3.74358611,J131502.2+034436,FITS,13 15 02.262,+03 44 36.91,0.014,2.68,2.69,0.144,1.66,0.0,87.2,,,,1998.535,2451009.6,23.612
208.9531125,3.74358333,J135548.7+034436,FITS,13 55 48.747,+03 44 36.90,0.014,8.09,8.62,0.135,1.8,1.2,17.8,,s,,1998.591,2451030.2,165.233
339.067975,3.74355556,J223616.3+034436,FITS,22 36 16.314,+03 44 36.80,0.258,1.02,2.99,0.137,12.23,4.18,66.5,,,,2009.237,2454918.9,0.946
3.508925,3.74353611,J001402.1+034436,FITS,00 14 02.142,+03 44 36.73,0.014,28.33,29.08,0.114,1.46,0.0,94.6,,s,,2009.26,2454927.5,6.296
31.57205,3.743525,J020617.2+034436,FITS,02 06 17.292,+03 44 36.69,0.014,1.35,3.01,0.132,7.76,5.3,33.9,,g,,2009.269,2454930.6,19.747
204.3750125,3.74351111,J133730.0+034436,FITS,13 37 30.003,+03 44 36.64,0.014,2.05,2.6,0.133,6.14,0.0,151.1,,g,,1998.603,2451034.7,177.176
343.18389583,3.74346944,J225244.1+034436,FITS,22 52 44.135,+03 44 36.49,0.014,486.79,504.83,0.209,1.23,1.04,175.8,,,,2009.239,2454919.6,1.609
343.19220417,3.74336111,J225246.1+034436,FITS,22 52 46.129,+03 44 36.10,0.435,1.67,0.94,0.209,0.0,0.0,91.3,,,,2009.239,2454919.7,1.726
199.63599583,3.74325833,J131832.6+034435,FITS,13 18 32.639,+03 44 35.73,0.014,1.69,2.18,0.151,5.58,0.0,29.3,,,,1998.528,2451007.3,20.193
7.33150417,3.74323056,J002919.5+034435,FITS,00 29 19.561,+03 44 35.63,0.014,1.86,1.32,0.13,0.0,0.0,74.9,,,,2009.231,2454916.8,17.712
184.52427083,3.74316667,J121805.8+034435,FITS,12 18 05.825,+03 44 35.40,0.102,2.15,5.16,0.204,8.08,5.67,102.7,,,,1998.511,2451000.9,0.455
