_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
320.12452083,-6.48351389,J212029.8-062900,FITS,21 20 29.885,-06 29 00.65,0.614,1.06,0.5,0.148,0.0,0.0,100.6,,s,,1997.148,2450503.5,1.286
0.365775,-6.48355556,J000127.7-062900,FITS,00 01 27.786,-06 29 00.80,0.014,17.26,19.21,0.296,2.52,1.39,23.0,,g,,2011.164,2455622.5,2.852
337.64079583,-6.48356111,J223033.7-062900,FITS,22 30 33.791,-06 29 00.82,0.096,3.43,3.87,0.144,3.74,0.0,54.9,,,,2011.237,2455649.0,5.933
163.64603333,-6.48378333,J105435.0-062901,FITS,10 54 35.048,-06 29 01.62,0.014,1.3,1.11,0.146,2.59,0.0,115.3,,,,2001.328,2452030.2,1.798
349.32654167,-6.48379444,J231718.3-062901,FITS,23 17 18.370,-06 29 01.66,0.014,10.93,32.26,0.156,11.23,5.52,38.4,,s,,2011.238,2455649.5,6.028
40.23866667,-6.48381667,J024057.2-062901,FITS,02 40 57.280,-06 29 01.74,0.279,1.08,0.48,0.142,0.0,0.0,91.4,,s,,2009.278,2454934.1,0.458
180.8529625,-6.48382222,J120324.7-062901,FITS,12 03 24.711,-06 29 01.76,0.014,5.41,5.2,0.14,0.64,0.0,110.7,,,,2001.33,2452030.8,0.616
220.2036375,-6.48396667,J144048.8-062902,FITS,14 40 48.873,-06 29 02.28,0.014,8.44,8.67,0.153,1.43,0.0,67.9,,,,2001.333,2452032.2,1.485
309.1698,-6.48423611,J203640.7-062903,FITS,20 36 40.752,-06 29 03.25,0.101,1078.66,1095.4,0.081,0.93,0.53,163.2,,s,,2011.283,2455666.0,3.896
199.19110417,-6.48425,J131645.8-062903,FITS,13 16 45.865,-06 29 03.30,0.173,1.11,1.01,0.154,3.59,0.0,22.7,,,,2001.332,2452031.7,1.339
356.30744583,-6.48425556,J234513.7-062903,FITS,23 45 13.787,-06 29 03.32,0.014,3.7,4.52,0.147,4.01,1.39,178.5,,,,2011.276,2455663.3,9.908
6.82958333,-6.48426667,J002719.1-062903,FITS,00 27 19.100,-06 29 03.36,0.014,3.23,5.72,0.134,6.09,4.03,71.2,,s,,2011.29,2455668.2,0.887
338.78389167,-6.48439722,J223508.1-062903,FITS,22 35 08.134,-06 29 03.83,0.014,6.69,7.11,0.153,2.1,0.0,44.9,,s,,2011.243,2455651.3,8.558
309.83644167,-6.48440556,J203920.7-062903,FITS,20 39 20.746,-06 29 03.86,0.092,1.02,2.65,0.135,9.07,5.85,36.9,,s,,2011.282,2455665.4,3.988
159.173325,-6.48449722,J103641.5-062904,FITS,10 36 41.598,-06 29 04.19,0.014,3.88,4.64,0.15,3.27,1.73,44.6,,,,2001.328,2452030.0,2.101
206.6073375,-6.48457778,J134625.7-062904,FITS,13 46 25.761,-06 29 04.48,0.014,3.22,3.33,0.149,3.28,0.0,24.5,,,,2001.333,2452032.0,1.439
28.0075,-6.48468611,J015201.8-062904,FITS,01 52 01.800,-06 29 04.87,0.014,11.49,11.8,0.107,1.38,0.0,92.3,,,,2009.31,2454945.6,9.472
40.07327917,-6.48476944,J024017.5-062905,FITS,02 40 17.587,-06 29 05.17,0.097,1.21,4.24,0.13,13.74,5.88,11.8,,s,,2009.279,2454934.3,0.331
14.97543333,-6.48481389,J005954.1-062905,FITS,00 59 54.104,-06 29 05.33,0.255,1.02,2.3,0.135,12.24,0.0,147.7,,g,,2011.309,2455675.3,0.0
309.8388125,-6.48484167,J203921.3-062905,FITS,20 39 21.315,-06 29 05.43,0.014,5.36,9.29,0.135,7.75,2.26,27.3,,s,,2011.282,2455665.4,3.987
172.69719583,-6.48489167,J113047.3-062905,FITS,11 30 47.327,-06 29 05.61,0.014,1.93,2.02,0.151,2.36,0.0,77.6,,g,,2001.33,2452031.1,1.093
180.08311667,-6.48497778,J120019.9-062905,FITS,12 00 19.948,-06 29 05.92,0.014,3.28,2.83,0.139,0.0,0.0,146.7,,,,2001.329,2452030.7,0.525
45.7962125,-6.48500278,J030311.0-062906,FITS,03 03 11.091,-06 29 06.01,0.241,1.2,0.97,0.141,5.14,0.0,15.9,,g,,2011.233,2455647.4,0.0
10.30280833,-6.48501389,J004112.6-062906,FITS,00 41 12.674,-06 29 06.05,0.091,1.46,3.27,0.152,11.05,0.95,60.5,,g,,2011.271,2455661.4,18.466
344.67190833,-6.4852,J225841.2-062906,FITS,22 58 41.258,-06 29 06.72,0.014,1.37,2.13,0.152,6.01,1.97,64.5,,g,,2011.25,2455653.9,10.499
205.67620417,-6.48522778,J134242.2-062906,FITS,13 42 42.289,-06 29 06.82,0.014,1.9,1.76,0.151,2.87,0.0,174.7,,,,2001.336,2452033.1,1.25
38.27518333,-6.48523889,J023306.0-062906,FITS,02 33 06.044,-06 29 06.86,0.184,2.24,2.87,0.288,5.06,0.36,13.7,,,,2009.276,2454933.4,0.0
53.97368333,-6.48542778,J033553.6-062907,FITS,03 35 53.684,-06 29 07.54,0.014,3.02,3.21,0.14,2.16,0.0,87.3,,s,,2011.233,2455647.4,0.0
