_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
222.4245,31.21076667,J144941.8+311238,FITS,14 49 41.880,+31 12 38.76,0.014,1.99,1.43,0.141,0.0,0.0,178.5,,s,,1993.966,2449341.1,230.576
193.72408333,31.21071944,J125453.7+311238,FITS,12 54 53.780,+31 12 38.59,0.014,4.4,3.94,0.123,0.0,0.0,52.0,,g,,1994.123,2449398.4,203.25
157.30379167,31.21055833,J102912.9+311238,FITS,10 29 12.910,+31 12 38.01,0.014,1.81,12.06,0.144,14.66,11.2,165.6,,s,,1994.176,2449417.7,188.705
208.87640833,31.21055278,J135530.3+311237,FITS,13 55 30.338,+31 12 37.99,0.014,10.99,11.25,0.171,1.2,0.0,151.6,,,,1993.942,2449332.2,232.946
218.3237625,31.21046389,J143317.7+311237,FITS,14 33 17.703,+31 12 37.67,0.162,1.04,2.5,0.096,9.03,3.83,164.0,,s,,1994.349,2449481.0,112.305
171.25553333,31.21045833,J112501.3+311237,FITS,11 25 01.328,+31 12 37.65,0.162,1.8,16.37,0.133,20.95,11.05,84.0,,,,1994.059,2449375.1,216.522
150.48587083,31.21039167,J100156.6+311237,FITS,10 01 56.609,+31 12 37.41,0.014,40.27,41.68,0.15,1.38,0.4,35.1,,g,,1994.041,2449368.5,219.32
111.92566667,31.21035556,J072742.1+311237,FITS,07 27 42.160,+31 12 37.28,0.089,1.6,1.33,0.146,0.0,0.0,90.2,,g,,1994.29,2449459.3,251.59
179.09866667,31.210275,J115623.6+311236,FITS,11 56 23.680,+31 12 36.99,0.448,2.68,4.26,0.432,8.06,0.0,112.4,,s,,1995.473,2449891.0,1107.02
104.9230375,31.21027222,J065941.5+311236,FITS,06 59 41.529,+31 12 36.98,0.654,1.02,1.95,0.139,6.44,3.78,98.5,,,,1994.353,2449482.5,26.926
143.11164167,31.210125,J093226.7+311236,FITS,09 32 26.794,+31 12 36.45,0.014,11.48,15.28,0.107,4.06,1.97,80.7,,g,,1994.273,2449453.1,153.777
119.4785875,31.21010833,J075754.8+311236,FITS,07 57 54.861,+31 12 36.39,0.014,3.06,5.15,0.125,6.55,2.06,33.6,,,,1994.158,2449411.2,215.029
133.20299167,31.20965833,J085248.7+311234,FITS,08 52 48.718,+31 12 34.77,0.014,83.4,100.37,0.138,3.3,1.25,77.8,,,,1993.976,2449344.8,223.071
127.44675417,31.20963889,J082947.2+311234,FITS,08 29 47.221,+31 12 34.70,0.014,2.14,2.15,0.089,1.56,0.0,158.2,,s,,1994.365,2449486.8,100.112
136.178125,31.20942222,J090442.7+311233,FITS,09 04 42.750,+31 12 33.92,0.014,5.46,6.0,0.139,2.02,1.33,103.8,,s,,1993.961,2449339.4,230.149
110.9238375,31.20935,J072341.7+311233,FITS,07 23 41.721,+31 12 33.66,0.092,1.09,0.77,0.135,0.0,0.0,23.9,,,,1994.323,2449471.3,151.571
199.7476,31.20922222,J131859.4+311233,FITS,13 18 59.424,+31 12 33.20,0.065,1.03,1.76,0.131,7.04,1.42,40.8,,g,,1994.07,2449378.9,213.853
189.35059167,31.20910556,J123724.1+311232,FITS,12 37 24.142,+31 12 32.78,0.014,18.75,33.91,0.141,7.58,1.72,105.9,,,,1993.939,2449331.4,232.318
210.66974167,31.20910278,J140240.7+311232,FITS,14 02 40.738,+31 12 32.77,0.039,1.13,0.98,0.132,0.0,0.0,1.4,,,,1994.34,2449477.7,117.012
240.11447083,31.20910278,J160027.4+311232,FITS,16 00 27.473,+31 12 32.77,0.014,2.72,6.43,0.104,9.73,3.02,129.9,,g,,1994.793,2449643.0,281.371
140.73645833,31.20906944,J092256.7+311232,FITS,09 22 56.750,+31 12 32.65,0.014,4.53,5.92,0.146,4.39,0.88,44.3,,,,1994.037,2449366.9,219.523
181.31667917,31.20875278,J120516.0+311231,FITS,12 05 16.003,+31 12 31.51,0.014,11.68,11.41,0.11,0.0,0.0,0.0,,g,,1994.196,2449425.0,182.449
127.72285833,31.20873889,J083053.4+311231,FITS,08 30 53.486,+31 12 31.46,0.014,4.35,4.75,0.121,2.37,0.24,22.6,,g,,1994.118,2449396.4,203.511
165.7631875,31.20851111,J110303.1+311230,FITS,11 03 03.165,+31 12 30.64,0.014,4.07,4.04,0.132,1.39,0.0,96.0,,,,1994.88,2449674.9,282.953
252.2734375,31.20850833,J164905.6+311230,FITS,16 49 05.625,+31 12 30.63,0.014,3.36,7.49,0.137,7.07,4.93,38.3,,,,1994.53,2449546.8,46.666
155.00290417,31.20842778,J102000.6+311230,FITS,10 20 00.697,+31 12 30.34,0.014,3.93,3.28,0.151,0.0,0.0,43.6,,,,1994.066,2449377.6,213.746
127.44809167,31.208425,J082947.5+311230,FITS,08 29 47.542,+31 12 30.33,0.014,2.44,2.61,0.089,2.19,0.0,162.0,,s,,1994.365,2449486.8,99.921
190.99113333,31.20837778,J124357.8+311230,FITS,12 43 57.872,+31 12 30.16,0.014,1.44,2.23,0.131,5.81,1.75,52.2,,g,,1994.043,2449369.2,218.122
