_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
52.56237917,-6.11581944,J033014.9-060656,FITS,03 30 14.971,-06 06 56.95,0.058,1.28,0.98,0.144,0.0,0.0,8.7,,g,,2011.293,2455669.4,0.0
310.14495833,-6.11598056,J204034.7-060657,FITS,20 40 34.790,-06 06 57.53,0.014,3.51,3.57,0.148,1.41,0.0,93.0,,g,,2011.292,2455669.1,0.007
18.74040417,-6.11602778,J011457.6-060657,FITS,01 14 57.697,-06 06 57.70,0.014,1.97,1.6,0.107,0.0,0.0,82.0,,g,,2009.293,2454939.3,0.0
136.85774167,-6.11605278,J090725.8-060657,FITS,09 07 25.858,-06 06 57.79,0.014,2.8,8.95,0.152,8.77,8.62,73.1,,,,2001.316,2452025.8,0.957
347.88282917,-6.11605278,J231131.8-060657,FITS,23 11 31.879,-06 06 57.79,0.098,1.52,1.57,0.148,3.2,0.0,37.3,,g,,2011.232,2455647.3,0.004
158.58949167,-6.11609722,J103421.4-060657,FITS,10 34 21.478,-06 06 57.95,0.014,1.65,1.63,0.15,2.45,0.0,28.4,,,,2001.317,2452026.0,0.917
310.918275,-6.11615,J204340.3-060658,FITS,20 43 40.386,-06 06 58.14,0.058,1.11,1.47,0.147,6.15,0.0,126.9,,g,,2011.285,2455666.7,3.678
339.34074583,-6.116175,J223721.7-060658,FITS,22 37 21.779,-06 06 58.23,0.014,5.56,9.95,0.153,7.73,1.61,76.3,,,,2011.292,2455669.2,0.002
192.83982083,-6.11618889,J125121.5-060658,FITS,12 51 21.557,-06 06 58.28,0.014,2.58,2.87,0.137,3.06,0.0,31.8,,,,2001.319,2452027.0,1.161
47.20594583,-6.11620833,J030849.4-060658,FITS,03 08 49.427,-06 06 58.35,0.014,2.46,4.35,0.133,6.58,3.47,58.3,,,,2011.291,2455668.5,4.074
41.740525,-6.11622222,J024657.7-060658,FITS,02 46 57.726,-06 06 58.40,0.014,6.11,5.19,0.12,0.0,0.0,93.5,,g,,2009.294,2454939.7,11.352
0.976525,-6.11635556,J000354.3-060658,FITS,00 03 54.366,-06 06 58.88,0.014,3.7,3.94,0.158,3.54,0.0,58.1,,,,2011.175,2455626.4,0.001
234.35127917,-6.11647778,J153724.3-060659,FITS,15 37 24.307,-06 06 59.32,0.014,3.14,3.34,0.15,2.2,0.0,113.1,,,,2001.324,2452028.8,2.754
199.36523333,-6.11651389,J131727.6-060659,FITS,13 17 27.656,-06 06 59.45,0.014,1.44,1.39,0.143,3.21,0.0,24.4,,,,2001.32,2452027.3,1.589
50.99650833,-6.11653056,J032359.1-060659,FITS,03 23 59.162,-06 06 59.51,0.062,1.04,2.08,0.134,7.77,3.95,36.9,,g,,2011.293,2455669.4,0.0
187.57139583,-6.11653889,J123017.1-060659,FITS,12 30 17.135,-06 06 59.54,0.014,13.53,14.62,0.139,2.8,0.0,11.9,,,,2001.319,2452027.0,0.95
16.43829583,-6.11654167,J010545.1-060659,FITS,01 05 45.191,-06 06 59.55,0.016,2.01,3.76,0.134,6.76,4.38,7.3,,,,2011.293,2455669.3,0.0
175.25285833,-6.11684444,J114100.6-060700,FITS,11 41 00.686,-06 07 00.64,0.014,1.44,2.42,0.154,7.02,2.88,3.7,,,,2001.322,2452028.1,2.473
184.50195,-6.11699722,J121800.4-060701,FITS,12 18 00.468,-06 07 01.19,0.014,4.01,5.66,0.138,4.4,2.99,54.7,,,,2001.318,2452026.8,0.0
315.21645,-6.11702222,J210051.9-060701,FITS,21 00 51.948,-06 07 01.28,0.014,1.69,5.45,0.158,20.6,0.0,86.8,,s,,1997.142,2450501.4,1.883
188.74819583,-6.11707222,J123459.5-060701,FITS,12 34 59.567,-06 07 01.46,0.014,1.66,2.0,0.152,4.84,0.0,152.5,,,,2001.322,2452028.2,2.519
324.5251125,-6.11708056,J213806.0-060701,FITS,21 38 06.027,-06 07 01.49,0.014,5.6,5.66,0.149,1.0,0.0,143.0,,g,,2011.292,2455669.1,0.001
209.62189583,-6.11715,J135829.2-060701,FITS,13 58 29.255,-06 07 01.74,0.014,2.04,2.93,0.149,8.24,0.0,27.6,,g,,2001.324,2452028.7,2.754
315.2132625,-6.11718333,J210051.1-060701,FITS,21 00 51.183,-06 07 01.86,0.508,1.05,1.46,0.157,10.93,0.0,99.9,,s,,1997.142,2450501.4,1.862
183.65045833,-6.11727222,J121436.1-060702,FITS,12 14 36.110,-06 07 02.18,0.014,134.32,156.71,0.138,3.24,1.45,155.9,,,,2001.319,2452027.0,1.24
180.84961667,-6.11727778,J120323.9-060702,FITS,12 03 23.908,-06 07 02.20,0.014,8.68,8.56,0.139,0.98,0.0,27.9,,,,2001.319,2452027.0,1.241
149.00344583,-6.11728889,J095600.8-060702,FITS,09 56 00.827,-06 07 02.24,0.267,1.01,0.93,0.151,4.98,0.0,19.0,,,,2001.317,2452026.2,0.817
155.98087917,-6.11735278,J102355.4-060702,FITS,10 23 55.411,-06 07 02.47,0.014,1.6,1.32,0.137,0.0,0.0,132.3,,,,2001.318,2452026.6,0.0
136.8554875,-6.11739722,J090725.3-060702,FITS,09 07 25.317,-06 07 02.63,0.014,5.35,5.17,0.152,1.39,0.0,64.3,,,,2001.316,2452025.8,0.955
316.75605,-6.11739722,J210701.4-060702,FITS,21 07 01.452,-06 07 02.63,0.014,1.61,1.12,0.157,0.0,0.0,154.7,,s,,1997.142,2450501.2,2.075
184.4984,-6.11751667,J121759.6-060703,FITS,12 17 59.616,-06 07 03.06,0.014,3.85,4.89,0.138,3.64,2.33,52.5,,,,2001.318,2452026.8,0.0
34.92860833,-6.11751944,J021942.8-060703,FITS,02 19 42.866,-06 07 03.07,0.014,4.45,4.07,0.155,1.26,0.0,58.3,,g,,1998.828,2451116.8,1413.79
209.62387917,-6.11753056,J135829.7-060703,FITS,13 58 29.731,-06 07 03.11,0.014,1.42,3.92,0.149,9.97,5.95,9.6,,,,2001.324,2452028.7,2.751
155.88628333,-6.11753611,J102332.7-060703,FITS,10 23 32.708,-06 07 03.13,0.014,1.45,0.94,0.146,0.0,0.0,151.6,,,,2001.318,2452026.5,0.426
158.21649583,-6.11760278,J103251.9-060703,FITS,10 32 51.959,-06 07 03.37,0.014,1.21,1.22,0.134,2.37,0.0,38.5,,,,2001.318,2452026.7,0.004
147.738125,-6.11768333,J095057.1-060703,FITS,09 50 57.150,-06 07 03.66,0.25,1.05,1.13,0.135,4.28,0.0,160.3,,,,2001.318,2452026.6,0.0
26.13307917,-6.11781389,J014431.9-060704,FITS,01 44 31.939,-06 07 04.13,0.101,1.23,0.65,0.073,0.0,0.0,97.8,,,,2009.323,2454950.6,15.7
183.36985833,-6.11781667,J121328.7-060704,FITS,12 13 28.766,-06 07 04.14,0.014,2.63,2.76,0.149,2.94,0.0,178.8,,,,2001.324,2452028.6,2.725
192.35855417,-6.11787778,J124926.0-060704,FITS,12 49 26.053,-06 07 04.36,0.014,13.78,20.35,0.175,5.51,2.17,128.6,,s,,2001.324,2452028.7,2.745
322.54327083,-6.11788611,J213010.3-060704,FITS,21 30 10.385,-06 07 04.39,0.014,1.89,3.62,0.14,9.95,0.92,24.4,,g,,2011.292,2455669.1,0.0
3.3251875,-6.11793889,J001318.0-060704,FITS,00 13 18.045,-06 07 04.58,0.014,22.38,23.73,0.337,1.79,0.73,82.8,,g,,2011.161,2455621.1,1.885
165.93192083,-6.11803056,J110343.6-060704,FITS,11 03 43.661,-06 07 04.91,0.014,10.79,11.23,0.148,1.38,0.97,38.8,,,,2001.318,2452026.4,0.667
349.90041667,-6.11810278,J231936.1-060705,FITS,23 19 36.100,-06 07 05.17,0.109,1.32,1.02,0.155,0.0,0.0,78.3,,g,,2011.232,2455647.3,0.004
315.49993333,-6.11811667,J210159.9-060705,FITS,21 01 59.984,-06 07 05.22,0.014,78.29,88.31,0.159,2.72,1.51,177.5,,s,,1997.142,2450501.2,2.044
190.84217083,-6.11814167,J124322.1-060705,FITS,12 43 22.121,-06 07 05.31,0.014,3.14,2.65,0.185,2.25,0.0,25.6,,,,2001.324,2452028.7,2.748
8.5202375,-6.11821667,J003404.8-060705,FITS,00 34 04.857,-06 07 05.58,0.058,1.2,0.81,0.153,0.0,0.0,22.8,,g,,2011.246,2455652.3,19.515
141.15006667,-6.11826667,J092436.0-060705,FITS,09 24 36.016,-06 07 05.76,0.014,1.8,2.8,0.145,9.38,0.0,23.9,,,,2001.314,2452025.0,0.77
39.219575,-6.11834722,J023652.6-060706,FITS,02 36 52.698,-06 07 06.05,0.014,7.45,9.55,0.133,5.56,0.0,143.5,,g,,2009.281,2454935.0,6.07
18.73682917,-6.11836667,J011456.8-060706,FITS,01 14 56.839,-06 07 06.12,0.014,1.33,1.9,0.107,5.15,1.7,70.6,,,,2009.293,2454939.3,0.0
158.94545417,-6.11844167,J103546.9-060706,FITS,10 35 46.909,-06 07 06.39,0.014,21.58,22.25,0.137,1.57,0.0,25.8,,,,2001.318,2452026.7,0.005
346.06932917,-6.118475,J230416.6-060706,FITS,23 04 16.639,-06 07 06.51,0.027,1.31,1.27,0.155,4.51,0.0,32.0,,s,,2011.232,2455647.2,0.003
330.5327375,-6.11848611,J220207.8-060706,FITS,22 02 07.857,-06 07 06.55,0.014,95.57,100.91,0.154,1.74,1.01,154.6,,,,2011.269,2455660.7,10.512
335.51904167,-6.11849444,J222204.5-060706,FITS,22 22 04.570,-06 07 06.58,0.014,3.5,3.24,0.156,0.0,0.0,109.2,,g,,2011.261,2455657.7,10.74
315.21182917,-6.11855,J210050.8-060706,FITS,21 00 50.839,-06 07 06.78,0.014,9.23,12.56,0.157,4.51,2.59,165.2,,g,,1997.142,2450501.5,1.841
29.56524167,-6.11858889,J015815.6-060706,FITS,01 58 15.658,-06 07 06.92,0.014,18.52,19.79,0.124,1.66,1.34,90.0,,,,2009.253,2454924.9,15.689
196.543425,-6.11863611,J130610.4-060707,FITS,13 06 10.422,-06 07 07.09,0.014,1.44,3.05,0.137,7.83,4.58,37.4,,,,2001.319,2452026.9,0.748
351.15829583,-6.11865278,J232437.9-060707,FITS,23 24 37.991,-06 07 07.15,0.014,12.92,16.33,0.153,4.27,1.66,161.4,,,,2011.232,2455647.3,0.006
155.23227917,-6.11870833,J102055.7-060707,FITS,10 20 55.747,-06 07 07.35,0.014,9.22,9.58,0.136,1.64,0.59,7.7,,,,2001.318,2452026.6,0.0
315.22787083,-6.11878056,J210054.6-060707,FITS,21 00 54.689,-06 07 07.61,0.39,1.17,0.58,0.158,0.0,0.0,105.2,,s,,1997.142,2450501.4,1.932
29.8388375,-6.11886944,J015921.3-060707,FITS,01 59 21.321,-06 07 07.93,0.014,6.39,12.58,0.144,9.78,1.54,32.8,,,,2001.132,2451958.6,2011.943
213.87245833,-6.11886944,J141529.3-060707,FITS,14 15 29.390,-06 07 07.93,0.075,2.04,1.74,0.143,0.0,0.0,172.1,,,,2001.32,2452027.3,1.48
39.2289375,-6.1189,J023654.9-060708,FITS,02 36 54.945,-06 07 08.04,0.014,8.67,8.55,0.133,0.89,0.0,73.2,,g,,2009.281,2454935.0,6.262
330.52510833,-6.11900278,J220206.0-060708,FITS,22 02 06.026,-06 07 08.41,0.014,9.68,10.08,0.154,1.92,0.0,167.6,,,,2011.268,2455660.2,10.616
47.20775,-6.11905833,J030849.8-060708,FITS,03 08 49.860,-06 07 08.61,0.014,4.9,19.28,0.133,18.77,4.18,168.2,,,,2011.291,2455668.5,4.067
135.94424583,-6.11910556,J090346.6-060708,FITS,09 03 46.619,-06 07 08.78,0.014,1.48,1.72,0.15,2.8,1.94,131.2,,,,2001.314,2452025.2,0.907
356.91010833,-6.11911111,J234738.4-060708,FITS,23 47 38.426,-06 07 08.80,0.032,3.76,4.36,0.346,3.36,0.0,74.9,,,,2011.159,2455620.4,0.001
346.66484583,-6.11935833,J230639.5-060709,FITS,23 06 39.563,-06 07 09.69,0.696,1.12,1.42,0.151,5.57,0.0,14.2,,,,2011.232,2455647.2,0.001
191.1871875,-6.11943611,J124444.9-060709,FITS,12 44 44.925,-06 07 09.97,0.014,3.65,4.37,0.14,4.15,0.39,171.3,,g,,2001.319,2452027.0,0.896
221.15027083,-6.11946111,J144436.0-060710,FITS,14 44 36.065,-06 07 10.06,0.014,2.6,3.04,0.139,4.07,0.0,42.2,,,,2001.32,2452027.2,1.265
165.93457083,-6.11946667,J110344.2-060710,FITS,11 03 44.297,-06 07 10.08,0.014,4.06,4.53,0.148,2.65,1.34,1.8,,,,2001.318,2452026.4,0.671
177.77312917,-6.11947222,J115105.5-060710,FITS,11 51 05.551,-06 07 10.10,0.014,1.13,1.77,0.136,4.9,3.82,89.3,,,,2001.318,2452026.7,0.0
330.5184,-6.11953889,J220204.4-060710,FITS,22 02 04.416,-06 07 10.34,0.014,1.74,1.61,0.154,3.44,0.0,31.3,,,,2011.266,2455659.7,10.685
222.44529167,-6.11957222,J144946.8-060710,FITS,14 49 46.870,-06 07 10.46,0.014,10.18,12.82,0.151,3.43,2.33,78.8,,,,2001.324,2452028.7,2.678
168.81600833,-6.11964444,J111515.8-060710,FITS,11 15 15.842,-06 07 10.72,0.058,1.04,1.88,0.138,7.17,2.88,73.9,,,,2001.318,2452026.7,0.005
314.13129583,-6.1197,J205631.5-060710,FITS,20 56 31.511,-06 07 10.92,0.111,1.78,1.33,0.162,0.65,0.0,75.5,,,,1997.145,2450502.3,0.0
146.78877083,-6.11971944,J094709.3-060710,FITS,09 47 09.305,-06 07 10.99,0.014,3.16,4.0,0.152,3.9,1.47,89.6,,,,2001.317,2452026.3,0.735
47.6905,-6.11978611,J031045.7-060711,FITS,03 10 45.720,-06 07 11.23,0.014,14.7,16.42,0.175,2.48,1.15,107.3,,,,2011.233,2455647.4,0.0
153.48225833,-6.11984444,J101355.7-060711,FITS,10 13 55.742,-06 07 11.44,0.014,4.49,6.87,0.15,5.44,3.12,29.3,,,,2001.317,2452026.2,0.839
30.73844167,-6.11987222,J020257.2-060711,FITS,02 02 57.226,-06 07 11.54,0.675,1.06,0.93,0.145,4.76,0.0,53.3,,,,1997.394,2450593.2,0.0
40.48159167,-6.11989444,J024155.5-060711,FITS,02 41 55.582,-06 07 11.62,0.014,21.11,24.98,0.096,3.38,0.63,103.1,,,,2009.323,2454950.3,0.0
318.80179583,-6.11990833,J211512.4-060711,FITS,21 15 12.431,-06 07 11.67,0.014,2.23,3.96,0.138,8.03,0.0,87.1,,g,,1997.145,2450502.3,0.005
16.4095625,-6.12001667,J010538.2-060712,FITS,01 05 38.295,-06 07 12.06,0.136,1.13,1.14,0.135,5.99,0.0,20.3,,,,2011.293,2455669.5,1.041
57.44394167,-6.12016389,J034946.5-060712,FITS,03 49 46.546,-06 07 12.59,0.014,16.4,17.36,0.155,1.87,0.97,12.7,,,,2011.262,2455658.0,12.788
0.80464583,-6.12020833,J000313.1-060712,FITS,00 03 13.115,-06 07 12.75,0.095,2.19,5.92,0.142,14.04,0.0,73.1,,g,,2011.175,2455626.4,0.0
343.11534167,-6.12021111,J225227.6-060712,FITS,22 52 27.682,-06 07 12.76,0.06,1.11,0.81,0.149,0.0,0.0,93.1,,g,,2011.232,2455647.2,0.001
