_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
238.2717125,37.12228056,J155305.2+370720,FITS,15 53 05.211,+37 07 20.21,0.014,1.4,1.12,0.137,0.0,0.0,170.2,,g,,1994.852,2449664.6,198.607
154.53468333,37.12226389,J101808.3+370720,FITS,10 18 08.324,+37 07 20.15,0.014,1.56,1.63,0.138,2.36,0.0,73.1,,,,1994.559,2449557.4,0.273
204.55300833,37.12225278,J133812.7+370720,FITS,13 38 12.722,+37 07 20.11,0.014,1.66,1.45,0.148,3.19,0.0,32.9,,,,1994.559,2449557.6,0.583
252.18724583,37.12223889,J164844.9+370720,FITS,16 48 44.939,+37 07 20.06,0.137,1.1,0.93,0.142,0.0,0.0,88.4,,,,1994.906,2449684.2,210.207
227.76882083,37.12220556,J151104.5+370719,FITS,15 11 04.517,+37 07 19.94,0.014,2.72,2.11,0.15,0.0,0.0,70.5,,s,,1994.559,2449557.6,0.653
186.7451875,37.12214722,J122658.8+370719,FITS,12 26 58.845,+37 07 19.73,0.014,11.11,15.15,0.139,4.64,1.41,150.0,,,,1994.559,2449557.5,0.232
215.05659583,37.12195556,J142013.5+370719,FITS,14 20 13.583,+37 07 19.04,0.014,1.81,1.33,0.148,0.0,0.0,22.9,,,,1994.559,2449557.6,0.575
195.3107375,37.121925,J130114.5+370718,FITS,13 01 14.577,+37 07 18.93,0.492,1.08,0.83,0.157,0.0,0.0,90.1,,,,1994.559,2449557.6,0.766
151.526625,37.12175,J100606.3+370718,FITS,10 06 06.390,+37 07 18.30,0.014,1.69,2.04,0.134,3.47,0.94,7.9,,g,,1994.559,2449557.4,0.259
109.27905833,37.12171389,J071706.9+370718,FITS,07 17 06.974,+37 07 18.17,0.115,1.39,0.77,0.145,0.0,0.0,31.2,,g,,1997.224,2450531.5,0.95
132.67811667,37.12155833,J085042.7+370717,FITS,08 50 42.748,+37 07 17.61,0.014,2.75,2.29,0.134,0.0,0.0,139.4,,s,,1994.567,2449560.6,12.27
135.950925,37.12153611,J090348.2+370717,FITS,09 03 48.222,+37 07 17.53,0.014,1.24,0.69,0.143,0.0,0.0,95.7,,,,1994.559,2449557.4,0.591
185.51865,37.12151389,J122204.4+370717,FITS,12 22 04.476,+37 07 17.45,0.014,3.35,3.54,0.155,3.02,0.0,51.2,,s,,1994.559,2449557.5,0.713
239.53597917,37.12146667,J155808.6+370717,FITS,15 58 08.635,+37 07 17.28,0.014,2.59,2.45,0.138,1.54,0.0,89.7,,g,,1994.787,2449640.7,180.597
198.77144583,37.12134167,J131505.1+370716,FITS,13 15 05.147,+37 07 16.83,0.014,9.72,9.85,0.139,1.05,0.0,84.5,,,,1994.559,2449557.5,0.251
165.81759583,37.12122222,J110316.2+370716,FITS,11 03 16.223,+37 07 16.40,0.274,1.01,0.8,0.14,0.51,0.0,90.0,,,,1994.559,2449557.4,0.328
151.44176667,37.12109722,J100546.0+370715,FITS,10 05 46.024,+37 07 15.95,0.014,3.48,18.41,0.134,11.95,10.45,51.4,,g,,1994.559,2449557.4,0.312
193.61746667,37.12091389,J125428.1+370715,FITS,12 54 28.192,+37 07 15.29,0.014,7.44,8.79,0.141,2.65,1.9,158.9,,s,,1994.559,2449557.5,0.421
222.97733333,37.12085278,J145154.5+370715,FITS,14 51 54.560,+37 07 15.07,0.092,1.13,1.5,0.151,5.24,0.0,23.5,,,,1994.559,2449557.6,0.645
250.24184583,37.120675,J164058.0+370714,FITS,16 40 58.043,+37 07 14.43,0.014,1.25,1.31,0.147,3.37,0.0,134.5,,,,1994.811,2449649.6,187.813
196.53922917,37.12065,J130609.4+370714,FITS,13 06 09.415,+37 07 14.34,0.014,2.82,3.66,0.14,4.49,0.0,69.2,,,,1994.559,2449557.5,0.279
114.0283875,37.120375,J073606.8+370713,FITS,07 36 06.813,+37 07 13.35,0.014,1.57,2.97,0.128,7.0,3.1,139.8,,g,,1997.225,2450531.6,0.391
259.7369875,37.12031944,J171856.8+370713,FITS,17 18 56.877,+37 07 13.15,0.014,22.56,26.13,0.148,2.67,1.51,93.5,,,,1994.627,2449582.5,22.266
168.73257083,37.12031389,J111455.8+370713,FITS,11 14 55.817,+37 07 13.13,0.797,1.15,0.66,0.162,0.0,0.0,30.4,,s,,1994.559,2449557.4,0.244
184.63074167,37.12020556,J121831.3+370712,FITS,12 18 31.378,+37 07 12.74,0.014,1.47,0.87,0.142,0.0,0.0,90.5,,,,1994.559,2449557.5,0.447
128.04289167,37.12011667,J083210.2+370712,FITS,08 32 10.294,+37 07 12.42,0.014,7.82,7.87,0.205,1.68,0.0,18.5,,s,,1994.558,2449557.3,0.605
166.32126667,37.11968056,J110517.1+370710,FITS,11 05 17.104,+37 07 10.85,0.014,1.66,1.0,0.155,0.0,0.0,170.9,,,,1994.559,2449557.4,0.544
