_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
118.37655,19.47885833,J075330.3+192843,FITS,07 53 30.372,+19 28 43.89,0.014,6.94,24.43,0.15,10.93,6.46,148.1,,g,,1998.734,2451082.3,9.192
133.46983333,19.47881944,J085352.7+192843,FITS,08 53 52.760,+19 28 43.75,0.014,3.51,3.2,0.147,0.69,0.0,23.5,,g,,1998.789,2451102.4,1.748
200.95694167,19.47869444,J132349.6+192843,FITS,13 23 49.666,+19 28 43.30,0.072,1.15,1.43,0.152,5.51,0.0,34.5,,,,1999.859,2451493.0,2.286
206.32238333,19.47860278,J134517.3+192842,FITS,13 45 17.372,+19 28 42.97,0.28,1.13,2.18,0.15,6.63,3.79,153.3,,s,,1999.91,2451511.7,17.575
177.30065833,19.47855,J114912.1+192842,FITS,11 49 12.158,+19 28 42.78,0.102,1.03,1.86,0.139,5.0,4.68,179.8,,g,,1999.864,2451494.9,1.154
238.881525,19.47836667,J155531.5+192842,FITS,15 55 31.566,+19 28 42.12,0.141,1.12,1.08,0.143,0.27,0.0,89.0,,,,1999.865,2451495.4,0.0
247.72950833,19.47830556,J163055.0+192841,FITS,16 30 55.082,+19 28 41.90,0.014,2.36,2.23,0.143,0.43,0.0,90.0,,g,,1999.869,2451496.6,6.135
144.05299167,19.47829722,J093612.7+192841,FITS,09 36 12.718,+19 28 41.87,0.014,8.93,8.72,0.147,0.0,0.0,179.1,,,,1998.789,2451102.4,1.731
186.80543333,19.478175,J122713.3+192841,FITS,12 27 13.304,+19 28 41.43,0.014,31.06,35.38,0.162,2.12,1.91,22.7,,g,,1999.859,2451493.0,2.292
128.65311667,19.47806667,J083436.7+192841,FITS,08 34 36.748,+19 28 41.04,0.014,1.73,1.55,0.135,0.0,0.0,89.5,,,,1998.788,2451102.1,0.187
141.949075,19.47794722,J092747.7+192840,FITS,09 27 47.778,+19 28 40.61,0.014,4.38,6.23,0.142,3.52,3.51,179.9,,g,,1998.788,2451102.2,1.139
173.33449167,19.47790833,J113320.2+192840,FITS,11 33 20.278,+19 28 40.47,0.014,3.88,4.85,0.15,3.15,2.21,32.4,,g,,1999.859,2451493.0,2.677
202.12789583,19.47786111,J132830.6+192840,FITS,13 28 30.695,+19 28 40.30,0.027,1.18,1.43,0.138,5.37,0.0,59.4,,g,,1999.865,2451495.3,0.0
221.32989167,19.47776389,J144519.1+192839,FITS,14 45 19.174,+19 28 39.95,0.38,1.16,1.84,0.155,6.6,0.0,75.0,,g,,1999.864,2451494.9,2.011
113.176725,19.477725,J073242.4+192839,FITS,07 32 42.414,+19 28 39.81,0.106,1.24,1.77,0.165,4.36,2.68,169.8,,,,1998.733,2451082.2,5.921
134.81893333,19.47759722,J085916.5+192839,FITS,08 59 16.544,+19 28 39.35,0.877,1.07,1.1,0.147,4.54,0.0,102.2,,,,1998.788,2451102.2,1.239
234.15805417,19.47745,J153637.9+192838,FITS,15 36 37.933,+19 28 38.82,0.014,3.45,2.81,0.152,0.0,0.0,163.2,,,,1999.865,2451495.1,1.631
152.4051375,19.47733611,J100937.2+192838,FITS,10 09 37.233,+19 28 38.41,0.014,5.69,6.09,0.147,1.7,1.09,90.0,,g,,1998.787,2451101.9,1.672
