_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
330.69931667,11.25460556,J220247.8+111516,FITS,22 02 47.836,+11 15 16.58,0.014,2.01,2.23,0.148,3.21,0.0,40.2,,,,2011.232,2455647.1,2.306
326.32884583,11.25455,J214518.9+111516,FITS,21 45 18.923,+11 15 16.38,0.014,7.31,19.72,0.141,16.51,0.0,162.1,,g,,2011.233,2455647.7,6.178
135.24485,11.25453889,J090058.7+111516,FITS,09 00 58.764,+11 15 16.34,0.014,1.8,1.93,0.149,2.85,0.0,139.2,,g,,2000.016,2451550.2,0.953
142.92681667,11.25442778,J093142.4+111515,FITS,09 31 42.436,+11 15 15.94,0.014,2.61,2.21,0.143,0.0,0.0,88.8,,,,2000.016,2451550.3,1.069
145.84929167,11.25440278,J094323.8+111515,FITS,09 43 23.830,+11 15 15.85,0.014,68.82,78.01,0.147,2.5,1.31,110.5,,s,,2000.016,2451550.3,1.089
345.2008125,11.25433889,J230048.1+111515,FITS,23 00 48.195,+11 15 15.62,0.493,1.75,16.76,0.276,25.74,11.12,138.1,,,,2011.177,2455627.0,6.211
172.00377917,11.25431944,J112800.9+111515,FITS,11 28 00.907,+11 15 15.55,0.014,100.84,104.54,0.152,1.04,1.03,90.2,,s,,2000.023,2451553.0,1.152
202.19937917,11.25428611,J132847.8+111515,FITS,13 28 47.851,+11 15 15.43,0.014,5.42,6.82,0.143,3.27,2.16,136.4,,g,,2000.024,2451553.3,1.152
347.42529167,11.25421389,J230942.0+111515,FITS,23 09 42.070,+11 15 15.17,0.195,1.85,1.64,0.195,2.49,0.0,47.1,,,,2011.183,2455629.2,3.441
198.20579583,11.25415278,J131249.3+111514,FITS,13 12 49.391,+11 15 14.95,0.014,1.47,8.34,0.15,19.03,6.4,152.7,,s,,2000.023,2451552.8,1.091
214.72885833,11.25406111,J141854.9+111514,FITS,14 18 54.926,+11 15 14.62,0.014,3.8,6.23,0.15,4.98,3.65,28.4,,,,2000.023,2451553.0,1.115
220.75207083,11.25405278,J144300.4+111514,FITS,14 43 00.497,+11 15 14.59,0.014,1.76,4.72,0.148,11.21,3.27,101.1,,s,,2000.025,2451553.7,0.967
241.54835833,11.25403889,J160611.6+111514,FITS,16 06 11.606,+11 15 14.54,0.014,13.63,15.3,0.104,2.49,1.08,12.3,,g,,2000.045,2451560.9,7.409
353.25199583,11.25399167,J233300.4+111514,FITS,23 33 00.479,+11 15 14.37,0.104,1.35,3.61,0.138,11.18,4.4,36.6,,s,,2011.218,2455642.1,7.654
326.48914167,11.25394167,J214557.3+111514,FITS,21 45 57.394,+11 15 14.19,0.014,3.27,3.59,0.151,3.16,0.0,164.1,,g,,2011.221,2455643.2,3.464
139.46918333,11.25389444,J091752.6+111514,FITS,09 17 52.604,+11 15 14.02,0.014,169.88,176.42,0.14,1.26,0.82,165.5,,g,,2000.015,2451550.0,0.469
356.2946125,11.25388333,J234510.7+111513,FITS,23 45 10.707,+11 15 13.98,0.014,44.54,47.33,0.139,1.65,1.23,50.5,,,,2011.194,2455633.3,0.001
134.654025,11.25380278,J085836.9+111513,FITS,08 58 36.966,+11 15 13.69,0.014,7.76,8.18,0.141,1.59,0.84,144.6,,,,2000.016,2451550.3,1.083
316.28475417,11.253775,J210508.3+111513,FITS,21 05 08.341,+11 15 13.59,0.877,1.16,0.78,0.16,1.47,0.0,30.8,,s,,2011.222,2455643.4,3.481
226.9972,11.25374722,J150759.3+111513,FITS,15 07 59.328,+11 15 13.49,0.014,3.42,3.61,0.151,2.98,0.0,140.2,,g,,2000.025,2451553.7,0.975
25.42859583,11.25363333,J014142.8+111513,FITS,01 41 42.863,+11 15 13.08,0.014,3.33,3.57,0.136,3.03,0.0,103.4,,,,2011.213,2455640.4,0.0
329.47795833,11.25362222,J215754.7+111513,FITS,21 57 54.710,+11 15 13.04,0.014,11.13,11.25,0.151,1.14,0.0,107.2,,s,,2011.273,2455662.0,13.953
321.7411375,11.25356389,J212657.8+111512,FITS,21 26 57.873,+11 15 12.83,0.032,1.45,1.39,0.202,1.12,0.0,119.2,,s,,2011.248,2455653.1,3.753
165.73395417,11.25354722,J110256.1+111512,FITS,11 02 56.149,+11 15 12.77,0.014,5.59,11.28,0.136,8.4,2.36,22.1,,,,2000.021,2451552.1,0.729
129.9756875,11.25353056,J083954.1+111512,FITS,08 39 54.165,+11 15 12.71,0.02,1.15,1.46,0.147,4.65,0.0,118.6,,g,,2000.015,2451550.1,0.901
12.122475,11.25348333,J004829.3+111512,FITS,00 48 29.394,+11 15 12.54,0.014,2.01,1.56,0.14,0.0,0.0,61.4,,g,,2011.213,2455640.4,0.005
321.5043,11.25339444,J212601.0+111512,FITS,21 26 01.032,+11 15 12.22,0.014,2.1,2.49,0.176,2.79,2.15,107.1,,,,2011.227,2455645.2,6.275
347.14587083,11.25333056,J230835.0+111511,FITS,23 08 35.009,+11 15 11.99,0.014,3.02,2.65,0.199,0.0,0.0,73.0,,,,2011.178,2455627.4,10.026
220.757825,11.25329167,J144301.8+111511,FITS,14 43 01.878,+11 15 11.85,0.014,1.28,3.59,0.148,9.76,4.99,111.9,,g,,2000.025,2451553.7,0.973
209.1789875,11.25326389,J135642.9+111511,FITS,13 56 42.957,+11 15 11.75,0.014,15.94,19.61,0.137,2.84,2.33,129.1,,g,,2000.022,2451552.4,0.801
318.18729583,11.25323333,J211244.9+111511,FITS,21 12 44.951,+11 15 11.64,0.014,1.76,1.54,0.152,0.0,0.0,98.7,,,,2011.224,2455644.4,3.41
25.67840417,11.25320556,J014242.8+111511,FITS,01 42 42.817,+11 15 11.54,0.014,1.52,1.4,0.153,1.1,0.0,74.5,,g,,2011.215,2455640.9,1.716
204.9012375,11.25319722,J133936.2+111511,FITS,13 39 36.297,+11 15 11.51,0.014,1.91,1.73,0.144,0.67,0.0,40.4,,,,2000.022,2451552.6,0.996
209.71086667,11.25310556,J135850.6+111511,FITS,13 58 50.608,+11 15 11.18,0.014,13.13,14.43,0.145,2.27,0.89,108.1,,s,,2000.024,2451553.3,1.14
24.74681667,11.25304444,J013859.2+111510,FITS,01 38 59.236,+11 15 10.96,0.014,1.21,0.84,0.135,0.0,0.0,86.1,,g,,2011.213,2455640.4,0.0
214.730975,11.25300833,J141855.4+111510,FITS,14 18 55.434,+11 15 10.83,0.014,7.52,10.47,0.15,3.51,3.26,94.9,,g,,2000.023,2451553.0,1.115
357.01682917,11.25296389,J234804.0+111510,FITS,23 48 04.039,+11 15 10.67,0.014,1.86,1.41,0.139,0.0,0.0,100.6,,g,,2011.204,2455636.8,11.618
151.79652917,11.25293056,J100711.1+111510,FITS,10 07 11.167,+11 15 10.55,0.014,6.73,6.8,0.145,0.66,0.46,90.1,,,,2000.024,2451553.1,1.149
182.276375,11.25288889,J120906.3+111510,FITS,12 09 06.330,+11 15 10.40,0.014,1.49,3.2,0.136,6.66,4.87,59.4,,s,,2000.021,2451552.2,0.754
328.76237917,11.252775,J215502.9+111509,FITS,21 55 02.971,+11 15 09.99,0.014,8.91,8.9,0.148,1.24,0.0,120.3,,s,,2011.215,2455641.0,2.28
353.8535125,11.25273333,J233524.8+111509,FITS,23 35 24.843,+11 15 09.84,0.043,1.24,1.89,0.149,5.5,2.73,51.5,,,,2011.198,2455634.6,7.33
349.000275,11.25271389,J231600.0+111509,FITS,23 16 00.066,+11 15 09.77,0.745,1.03,1.94,0.155,7.32,3.27,108.1,,,,2011.203,2455636.7,4.831
216.07777917,11.25253333,J142418.6+111509,FITS,14 24 18.667,+11 15 09.12,0.014,83.35,108.46,0.137,3.92,1.78,158.4,,s,,2000.026,2451554.1,0.223
13.37725417,11.25251667,J005330.5+111509,FITS,00 53 30.541,+11 15 09.06,0.014,1.37,1.37,0.14,1.37,0.0,172.6,,s,,2011.213,2455640.4,0.007
320.28609167,11.252425,J212108.6+111508,FITS,21 21 08.662,+11 15 08.73,0.014,1.51,1.5,0.138,2.47,0.0,29.8,,g,,2011.23,2455646.5,2.085
209.1483875,11.25238889,J135635.6+111508,FITS,13 56 35.613,+11 15 08.60,0.014,1.65,2.25,0.141,4.26,2.02,5.0,,g,,2000.022,2451552.5,0.863
317.93185833,11.25231944,J211143.6+111508,FITS,21 11 43.646,+11 15 08.35,0.495,1.03,0.77,0.139,0.0,0.0,32.0,,g,,2011.229,2455646.2,2.374
15.38337083,11.25228611,J010132.0+111508,FITS,01 01 32.009,+11 15 08.23,0.528,1.09,0.95,0.146,1.11,0.0,90.1,,s,,2011.218,2455642.0,2.919
10.03257083,11.25226389,J004007.8+111508,FITS,00 40 07.817,+11 15 08.15,0.014,3.1,3.55,0.147,3.2,0.0,111.5,,g,,2011.226,2455645.0,12.094
217.0245125,11.25225,J142805.8+111508,FITS,14 28 05.883,+11 15 08.10,0.06,1.13,1.61,0.152,4.62,2.25,86.4,,s,,2000.025,2451553.7,0.996
348.76387917,11.25224444,J231503.3+111508,FITS,23 15 03.331,+11 15 08.08,0.786,1.03,1.03,0.138,4.06,0.0,173.4,,,,2011.196,2455633.9,1.929
176.6092375,11.25212222,J114626.2+111507,FITS,11 46 26.217,+11 15 07.64,0.014,19.1,19.89,0.144,1.24,0.94,180.0,,g,,2000.024,2451553.4,1.123
327.31631667,11.25209722,J214915.9+111507,FITS,21 49 15.916,+11 15 07.55,0.014,2.11,1.92,0.146,1.82,0.0,46.2,,s,,2011.227,2455645.2,11.054
345.20084167,11.25204444,J230048.2+111507,FITS,23 00 48.202,+11 15 07.36,0.014,9.27,12.4,0.277,3.78,3.08,163.0,,,,2011.177,2455627.0,6.223
251.24997917,11.25201111,J164459.9+111507,FITS,16 44 59.995,+11 15 07.24,0.014,2.78,1.89,0.139,0.0,0.0,15.1,,g,,2000.027,2451554.3,0.222
350.88234583,11.25189722,J232331.7+111506,FITS,23 23 31.763,+11 15 06.83,0.016,1.32,0.75,0.148,0.0,0.0,85.5,,g,,2011.213,2455640.3,0.001
250.57569583,11.25186389,J164218.1+111506,FITS,16 42 18.167,+11 15 06.71,0.014,2.96,3.11,0.138,2.48,0.0,16.9,,s,,2000.027,2451554.4,0.351
2.137625,11.25185278,J000833.0+111506,FITS,00 08 33.030,+11 15 06.67,0.6,1.1,1.14,0.146,4.59,0.0,69.3,,g,,2011.218,2455642.2,17.095
204.97544167,11.25179722,J133954.1+111506,FITS,13 39 54.106,+11 15 06.47,0.014,1.3,3.81,0.149,7.81,7.19,76.9,,,,2000.023,2451553.0,1.104
176.496475,11.25178889,J114559.1+111506,FITS,11 45 59.154,+11 15 06.44,0.014,1.24,0.79,0.148,0.0,0.0,142.4,,,,2000.023,2451553.0,1.14
19.8929,11.25174444,J011934.2+111506,FITS,01 19 34.296,+11 15 06.28,0.014,5.6,5.03,0.143,0.0,0.0,82.5,,,,2011.216,2455641.4,2.502
121.85295,11.25161389,J080724.7+111505,FITS,08 07 24.708,+11 15 05.81,0.014,2.44,2.9,0.142,3.37,0.49,17.0,,,,2000.016,2451550.3,1.072
181.56415,11.25160556,J120615.3+111505,FITS,12 06 15.396,+11 15 05.78,0.148,1.12,2.41,0.139,9.06,2.47,54.6,,g,,2000.021,2451552.3,0.818
123.27219583,11.25148056,J081305.3+111505,FITS,08 13 05.327,+11 15 05.33,0.73,1.06,1.18,0.147,3.02,0.0,103.1,,g,,2000.016,2451550.2,0.989
330.145225,11.25145278,J220034.8+111505,FITS,22 00 34.854,+11 15 05.23,0.014,95.5,106.12,0.148,2.39,1.49,150.7,,,,2011.227,2455645.2,3.154
225.44244583,11.25138889,J150146.1+111505,FITS,15 01 46.187,+11 15 05.00,0.014,4.49,4.69,0.144,1.27,1.01,0.1,,g,,2000.025,2451553.7,1.045
151.5725,11.25135833,J100617.4+111504,FITS,10 06 17.400,+11 15 04.89,0.04,1.1,1.19,0.136,3.99,0.0,178.8,,g,,2000.021,2451552.2,0.819
222.8181375,11.25135833,J145116.3+111504,FITS,14 51 16.353,+11 15 04.89,0.014,1.99,2.5,0.138,3.81,1.26,147.6,,s,,2000.026,2451554.1,0.227
3.6515,11.25128889,J001436.3+111504,FITS,00 14 36.360,+11 15 04.64,0.014,2.15,2.83,0.147,4.02,2.09,90.0,,s,,2011.231,2455646.7,13.526
212.54550417,11.25128889,J141010.9+111504,FITS,14 10 10.921,+11 15 04.64,0.1,1.09,3.1,0.143,9.32,5.48,75.9,,,,2000.024,2451553.3,1.131
353.24982917,11.25125278,J233259.9+111504,FITS,23 32 59.959,+11 15 04.51,0.014,1.4,1.42,0.139,4.24,0.0,88.0,,,,2011.218,2455642.2,7.874
155.34602917,11.25115833,J102123.0+111504,FITS,10 21 23.047,+11 15 04.17,0.078,1.0,1.4,0.135,5.75,0.0,147.2,,,,2000.021,2451552.3,0.867
248.78628333,11.25114167,J163508.7+111504,FITS,16 35 08.708,+11 15 04.11,0.014,5.39,14.06,0.15,11.18,2.89,179.7,,s,,2000.026,2451554.0,0.58
