_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
230.08764167,2.8867,J152021.0+025312,FITS,15 20 21.034,+02 53 12.12,0.014,22.64,23.76,0.153,1.81,0.0,72.2,,s,,1998.539,2451011.2,1.398
339.32711667,2.88669167,J223718.5+025312,FITS,22 37 18.508,+02 53 12.09,0.014,17.89,18.48,0.122,1.67,0.0,72.1,,g,,2009.146,2454885.8,2.606
355.42182917,2.88666389,J234141.2+025311,FITS,23 41 41.239,+02 53 11.99,0.174,1.87,0.99,0.122,0.0,0.0,82.2,,s,,2009.186,2454900.5,22.067
167.25482917,2.88661667,J110901.1+025311,FITS,11 09 01.159,+02 53 11.82,0.131,1.19,1.23,0.149,5.43,0.0,140.7,,,,1998.606,2451035.8,31.152
178.37690417,2.88658611,J115330.4+025311,FITS,11 53 30.457,+02 53 11.71,0.06,1.34,2.14,0.155,4.67,4.4,22.6,,s,,1998.531,2451008.2,2.176
177.62242917,2.88655833,J115029.3+025311,FITS,11 50 29.383,+02 53 11.61,0.014,30.98,44.94,0.154,4.69,3.03,124.5,,s,,1998.531,2451008.2,2.16
126.3547,2.88653056,J082525.1+025311,FITS,08 25 25.128,+02 53 11.51,0.197,1.97,7.36,0.178,10.4,8.97,81.5,,,,1998.534,2451009.3,0.988
347.38257917,2.88652222,J230931.8+025311,FITS,23 09 31.819,+02 53 11.48,0.039,1.09,0.6,0.136,0.0,0.0,94.2,,,,2009.157,2454889.8,11.234
230.0833125,2.88643611,J152019.9+025311,FITS,15 20 19.995,+02 53 11.17,0.014,3.79,6.92,0.153,6.0,4.73,8.2,,,,1998.539,2451011.2,1.402
320.097925,2.88642222,J212023.5+025311,FITS,21 20 23.502,+02 53 11.12,0.257,1.06,0.41,0.136,0.0,0.0,86.0,,,,2009.229,2454916.2,17.623
346.31577083,2.88639444,J230515.7+025311,FITS,23 05 15.785,+02 53 11.02,0.014,1.71,1.59,0.135,3.85,0.0,63.7,,g,,2009.227,2454915.3,23.54
130.01635417,2.88639167,J084003.9+025311,FITS,08 40 03.925,+02 53 11.01,0.014,19.56,24.03,0.145,3.78,1.51,42.8,,,,1998.538,2451011.0,8.68
157.29774167,2.88635833,J102911.4+025310,FITS,10 29 11.458,+02 53 10.89,0.07,1.26,2.61,0.152,8.06,3.94,53.2,,s,,1998.593,2451031.0,31.08
156.3370625,2.88634444,J102520.8+025310,FITS,10 25 20.895,+02 53 10.84,0.272,1.09,1.48,0.137,6.65,0.0,153.5,,s,,1998.534,2451009.4,1.038
144.06502917,2.88623333,J093615.6+025310,FITS,09 36 15.607,+02 53 10.44,0.014,3.63,3.59,0.152,2.1,0.0,110.7,,g,,1998.541,2451011.8,0.983
23.11542917,2.886175,J013227.7+025310,FITS,01 32 27.703,+02 53 10.23,0.014,9.97,10.26,0.139,1.39,0.0,60.9,,g,,2009.157,2454890.0,11.542
157.29554167,2.88614722,J102910.9+025310,FITS,10 29 10.930,+02 53 10.13,0.014,2.76,3.3,0.152,2.83,2.38,166.5,,,,1998.592,2451030.5,30.882
43.75272917,2.88608889,J025500.6+025309,FITS,02 55 00.655,+02 53 09.92,0.193,2.71,2.02,0.248,0.0,0.0,123.9,,,,2009.221,2454913.1,12.975
130.84283333,2.88607778,J084322.2+025309,FITS,08 43 22.280,+02 53 09.88,0.865,1.03,0.83,0.14,3.12,0.0,48.8,,g,,1998.538,2451010.8,9.686
334.46147083,2.88601667,J221750.7+025309,FITS,22 17 50.753,+02 53 09.66,0.014,12.07,11.9,0.131,0.82,0.0,79.4,,,,2009.178,2454897.6,20.628
203.79958333,2.88596667,J133511.9+025309,FITS,13 35 11.900,+02 53 09.48,0.014,105.26,106.76,0.152,0.74,0.66,26.5,,s,,1998.532,2451008.8,1.742
171.3756625,2.88591944,J112530.1+025309,FITS,11 25 30.159,+02 53 09.31,0.014,7.12,6.73,0.149,0.0,0.0,81.4,,s,,1998.534,2451009.3,0.84
22.62986667,2.88587222,J013031.1+025309,FITS,01 30 31.168,+02 53 09.14,0.014,5.51,5.06,0.137,0.61,0.0,89.2,,g,,2009.16,2454891.0,17.482
334.06697083,2.88584722,J221616.0+025309,FITS,22 16 16.073,+02 53 09.05,0.014,1.25,1.32,0.122,2.89,0.0,4.4,,,,2009.266,2454929.7,13.429
168.71545417,2.885825,J111451.7+025308,FITS,11 14 51.709,+02 53 08.97,0.511,1.05,2.84,0.153,12.96,3.43,18.1,,,,1998.541,2451012.0,0.815
36.34672917,2.88570833,J022523.2+025308,FITS,02 25 23.215,+02 53 08.55,0.014,18.14,29.36,0.12,7.46,1.76,9.5,,g,,2009.308,2454944.9,15.253
170.43847917,2.8856,J112145.2+025308,FITS,11 21 45.235,+02 53 08.16,0.014,1.59,1.9,0.156,3.28,1.35,108.2,,g,,1998.538,2451010.7,1.405
34.66370833,2.88558611,J021839.2+025308,FITS,02 18 39.290,+02 53 08.11,0.186,1.12,1.63,0.117,4.76,3.24,0.6,,,,2009.234,2454917.8,29.555
126.883275,2.88557778,J082731.9+025308,FITS,08 27 31.986,+02 53 08.08,0.014,4.48,6.84,0.203,5.87,2.59,28.5,,g,,1998.54,2451011.5,1.503
343.12884583,2.88557778,J225230.9+025308,FITS,22 52 30.923,+02 53 08.08,0.162,1.05,1.14,0.119,7.39,0.0,117.4,,,,2009.146,2454885.9,2.668
356.32090833,2.88554167,J234517.0+025307,FITS,23 45 17.018,+02 53 07.95,0.014,10.64,10.41,0.132,1.37,0.0,85.0,,g,,2009.185,2454900.0,21.85
320.80234167,2.885525,J212312.5+025307,FITS,21 23 12.562,+02 53 07.89,0.014,2.08,2.22,0.119,2.74,0.0,90.2,,g,,2009.289,2454938.1,8.15
43.79869167,2.88551944,J025511.6+025307,FITS,02 55 11.686,+02 53 07.87,0.279,3.14,4.51,0.255,7.43,0.0,106.2,,,,2009.228,2454915.7,10.068
