_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
325.12484583,1.55756111,J214029.9+013327,FITS,21 40 29.963,+01 33 27.22,0.162,1.11,0.88,0.141,4.2,0.0,37.3,,,,1995.773,2450000.7,0.0
202.058325,1.55755833,J132813.9+013327,FITS,13 28 13.998,+01 33 27.21,0.014,46.81,56.72,0.136,3.6,0.91,100.0,,s,,1998.564,2451020.3,0.939
136.93118333,1.55750278,J090743.4+013327,FITS,09 07 43.484,+01 33 27.01,0.014,1.37,3.33,0.135,9.17,5.1,147.8,,g,,1998.564,2451020.3,0.209
128.5602375,1.55748889,J083414.4+013326,FITS,08 34 14.457,+01 33 26.96,0.014,14.06,14.66,0.14,1.52,0.55,89.7,,g,,1998.564,2451020.4,0.007
342.40703333,1.55748056,J224937.6+013326,FITS,22 49 37.688,+01 33 26.93,0.014,24.44,30.47,0.136,4.09,0.68,61.9,,s,,1996.154,2450140.0,812.463
180.0494875,1.55745278,J120011.8+013326,FITS,12 00 11.877,+01 33 26.83,0.014,6.85,6.39,0.15,1.33,0.0,19.1,,s,,1998.562,2451019.5,1.372
159.68150417,1.55739444,J103843.5+013326,FITS,10 38 43.561,+01 33 26.62,0.014,3.01,3.08,0.152,1.19,0.07,108.2,,,,1998.563,2451020.1,0.843
336.29075,1.557325,J222509.7+013326,FITS,22 25 09.780,+01 33 26.37,0.557,1.03,1.74,0.138,7.48,2.32,165.4,,,,1996.774,2450366.9,1287.919
210.50194167,1.55727778,J140200.4+013326,FITS,14 02 00.466,+01 33 26.20,0.014,7.67,11.06,0.144,5.64,1.71,137.5,,g,,1998.558,2451018.3,0.765
28.0834625,1.55713056,J015220.0+013325,FITS,01 52 20.031,+01 33 25.67,0.014,5.14,11.63,0.135,9.85,2.98,65.2,,g,,1996.238,2450170.8,898.066
204.56002917,1.55710556,J133814.4+013325,FITS,13 38 14.407,+01 33 25.58,0.014,1.95,2.98,0.152,5.49,3.07,30.6,,g,,1998.558,2451018.1,1.041
170.374125,1.55706389,J112129.7+013325,FITS,11 21 29.790,+01 33 25.43,0.014,3.4,2.82,0.154,0.0,0.0,85.4,,g,,1998.564,2451020.2,0.77
193.72136667,1.55705278,J125453.1+013325,FITS,12 54 53.128,+01 33 25.39,0.014,1.47,2.11,0.148,6.03,0.0,111.1,,,,1998.598,2451032.8,26.409
193.93150417,1.55702222,J125543.5+013325,FITS,12 55 43.561,+01 33 25.28,0.281,1.05,1.13,0.139,4.6,0.0,53.3,,,,1998.569,2451022.3,11.396
220.04292083,1.557,J144010.3+013325,FITS,14 40 10.301,+01 33 25.20,0.405,1.05,1.78,0.137,10.78,0.0,143.4,,g,,1998.559,2451018.5,0.551
353.68340833,1.55682778,J233444.0+013324,FITS,23 34 44.018,+01 33 24.58,0.014,1.21,2.22,0.136,6.65,4.05,146.8,,g,,1996.418,2450236.6,1051.661
315.88452917,1.55676389,J210332.2+013324,FITS,21 03 32.287,+01 33 24.35,0.014,1.01,0.84,0.121,4.02,0.0,88.0,,g,,2009.25,2454923.6,24.273
129.70702917,1.55675,J083849.6+013324,FITS,08 38 49.687,+01 33 24.30,0.262,1.01,1.36,0.151,7.03,0.0,178.1,,,,1998.565,2451020.6,0.411
177.682725,1.55671944,J115043.8+013324,FITS,11 50 43.854,+01 33 24.19,0.046,1.65,1.17,0.171,0.0,0.0,85.7,,g,,1998.562,2451019.6,1.36
157.65065417,1.556575,J103036.1+013323,FITS,10 30 36.157,+01 33 23.67,0.014,10.42,10.38,0.153,0.96,0.0,82.1,,g,,1998.564,2451020.2,0.714
357.99424167,1.55655278,J235158.6+013323,FITS,23 51 58.618,+01 33 23.59,0.014,1.68,2.36,0.134,4.92,2.4,134.7,,g,,1997.793,2450739.1,1756.496
202.06095833,1.556525,J132814.6+013323,FITS,13 28 14.630,+01 33 23.49,0.014,5.34,12.14,0.135,11.42,1.13,127.4,,,,1998.564,2451020.4,0.913
337.0818125,1.55652222,J222819.6+013323,FITS,22 28 19.635,+01 33 23.48,0.014,8.01,8.23,0.137,2.85,0.0,146.3,,,,1996.247,2450173.9,902.728
28.08086667,1.55648611,J015219.4+013323,FITS,01 52 19.408,+01 33 23.35,0.014,8.88,15.91,0.135,6.45,3.89,130.6,,g,,1996.26,2450178.6,917.688
175.4505,1.55611111,J114148.1+013322,FITS,11 41 48.120,+01 33 22.00,0.014,10.38,12.23,0.282,2.93,1.72,98.2,,g,,1998.562,2451019.5,1.376
5.17433333,1.55609444,J002041.8+013321,FITS,00 20 41.840,+01 33 21.94,0.014,3.42,2.58,0.17,0.0,0.0,57.1,,g,,2003.465,2452810.2,2425.94
182.36847083,1.55606389,J120928.4+013321,FITS,12 09 28.433,+01 33 21.83,0.014,1.5,1.26,0.153,0.0,0.0,147.2,,g,,1998.562,2451019.7,1.288
