_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
152.92670417,15.73426667,J101142.4+154403,FITS,10 11 42.409,+15 44 03.36,0.014,10.38,10.18,0.13,0.78,0.0,153.6,,,,1999.885,2451502.5,1.971
128.09059583,15.73426111,J083221.7+154403,FITS,08 32 21.743,+15 44 03.34,0.014,14.01,14.26,0.143,1.46,0.0,134.3,,,,1999.882,2451501.6,1.962
225.74095417,15.73409722,J150257.8+154402,FITS,15 02 57.829,+15 44 02.75,0.014,1.32,1.62,0.135,3.47,1.32,73.9,,g,,1999.953,2451527.2,0.0
131.62185833,15.733975,J084629.2+154402,FITS,08 46 29.246,+15 44 02.31,0.014,10.24,11.49,0.15,2.19,1.54,108.4,,g,,1999.88,2451500.9,3.286
122.977775,15.73392222,J081154.6+154402,FITS,08 11 54.666,+15 44 02.12,0.014,1.34,1.48,0.134,3.48,0.0,157.6,,s,,1999.883,2451501.9,0.0
235.29324583,15.73390833,J154110.3+154402,FITS,15 41 10.379,+15 44 02.07,0.014,212.13,226.31,0.15,1.72,0.99,138.5,,,,1999.945,2451524.5,6.466
203.277825,15.73382778,J133306.6+154401,FITS,13 33 06.678,+15 44 01.78,0.014,3.15,2.59,0.137,0.0,0.0,121.6,,g,,1999.914,2451513.2,0.0
148.77369167,15.73360278,J095505.6+154400,FITS,09 55 05.686,+15 44 00.97,0.014,1.4,1.42,0.151,1.71,0.0,152.1,,g,,1999.895,2451506.1,4.223
158.322325,15.73355833,J103317.3+154400,FITS,10 33 17.358,+15 44 00.81,0.105,1.02,3.09,0.133,10.77,4.97,109.3,,g,,1999.885,2451502.5,1.948
168.44995,15.73347778,J111347.9+154400,FITS,11 13 47.988,+15 44 00.52,0.014,3.82,3.87,0.149,1.97,0.0,115.2,,s,,1999.902,2451508.8,4.151
151.15483333,15.73344167,J100437.1+154400,FITS,10 04 37.160,+15 44 00.39,0.014,1.46,1.06,0.149,0.0,0.0,155.4,,g,,1999.897,2451506.9,4.172
133.18737917,15.73340833,J085244.9+154400,FITS,08 52 44.971,+15 44 00.27,0.014,1.54,7.87,0.151,13.93,8.38,113.9,,,,1999.881,2451501.0,3.196
203.28087083,15.73336389,J133307.4+154400,FITS,13 33 07.409,+15 44 00.11,0.014,1.11,4.41,0.137,10.03,8.61,148.7,,g,,1999.914,2451513.2,0.0
242.804925,15.73332222,J161113.1+154359,FITS,16 11 13.182,+15 43 59.96,0.014,1.9,1.51,0.15,1.16,0.0,60.3,,g,,1999.946,2451524.8,6.178
199.00819167,15.73320556,J131601.9+154359,FITS,13 16 01.966,+15 43 59.54,0.101,1.51,1.19,0.151,2.79,0.0,155.8,,g,,1999.927,2451517.9,6.957
131.6685625,15.732875,J084640.4+154358,FITS,08 46 40.455,+15 43 58.35,0.014,4.83,5.35,0.152,2.45,0.67,87.0,,g,,1999.881,2451500.9,3.263
164.45657083,15.73275278,J105749.5+154357,FITS,10 57 49.577,+15 43 57.91,0.014,3.22,3.96,0.148,4.09,0.0,96.9,,,,1999.891,2451504.7,3.909
240.277725,15.73273333,J160106.6+154357,FITS,16 01 06.654,+15 43 57.84,0.339,1.69,1.21,0.159,0.0,0.0,97.3,,g,,1999.941,2451523.1,7.643
194.81460833,15.73273056,J125915.5+154357,FITS,12 59 15.506,+15 43 57.83,0.014,1.98,3.7,0.145,7.66,2.11,55.1,,g,,1999.922,2451515.9,5.817
230.59676667,15.73273056,J152223.2+154357,FITS,15 22 23.224,+15 43 57.83,0.406,1.03,2.26,0.152,7.74,4.12,53.4,,,,1999.939,2451522.3,8.084
200.15073333,15.73257778,J132036.1+154357,FITS,13 20 36.176,+15 43 57.28,0.014,2.62,2.54,0.134,0.0,0.0,0.1,,g,,1999.917,2451514.1,3.671
