_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
318.9417,9.18389167,J211546.0+091102,FITS,21 15 46.008,+09 11 02.01,0.877,1.29,0.94,0.204,2.83,0.0,98.1,,,,2009.37,2454967.5,1.329
205.61738333,9.18385278,J134228.1+091101,FITS,13 42 28.172,+09 11 01.87,0.195,1.96,1.51,0.211,0.71,0.0,115.5,,,,2000.056,2451565.0,0.572
318.94375417,9.18381667,J211546.5+091101,FITS,21 15 46.501,+09 11 01.74,0.195,1.95,1.43,0.204,0.82,0.0,86.9,,,,2009.37,2454967.5,1.341
250.55337083,9.183775,J164212.8+091101,FITS,16 42 12.809,+09 11 01.59,0.014,10.75,12.24,0.141,2.75,0.94,19.3,,,,2000.056,2451565.2,0.218
318.94786667,9.18370556,J211547.4+091101,FITS,21 15 47.488,+09 11 01.34,0.088,2.39,4.03,0.205,10.3,0.0,90.0,,,,2009.37,2454967.5,1.365
232.53832917,9.18363333,J153009.1+091101,FITS,15 30 09.199,+09 11 01.08,0.014,3.1,3.92,0.137,4.0,0.92,107.6,,,,2000.056,2451565.1,0.196
319.031175,9.18361111,J211607.4+091101,FITS,21 16 07.482,+09 11 01.00,0.383,1.52,2.19,0.213,8.28,0.0,93.9,,g,,2009.369,2454967.1,1.682
318.95191667,9.18358056,J211548.4+091100,FITS,21 15 48.460,+09 11 00.89,0.367,1.5,1.78,0.206,8.65,0.0,89.4,,s,,2009.37,2454967.4,1.388
244.06057083,9.183575,J161614.5+091100,FITS,16 16 14.537,+09 11 00.87,0.014,6.66,6.6,0.155,1.35,0.0,109.5,,,,2000.056,2451565.1,1.279
197.18468333,9.18355556,J130844.3+091100,FITS,13 08 44.324,+09 11 00.80,0.014,5.62,9.67,0.139,6.42,2.57,114.4,,g,,2000.056,2451565.0,0.249
318.97819167,9.18354444,J211554.7+091100,FITS,21 15 54.766,+09 11 00.76,0.014,99.8,122.17,0.21,3.64,1.95,8.5,,,,2009.369,2454967.3,1.515
133.24714167,9.18351389,J085259.3+091100,FITS,08 52 59.314,+09 11 00.65,0.014,11.57,14.99,0.153,3.91,1.73,15.9,,g,,2000.054,2451564.3,0.48
329.61885,9.18349444,J215828.5+091100,FITS,21 58 28.524,+09 11 00.58,0.366,1.01,0.66,0.128,0.0,0.0,79.4,,s,,2009.37,2454967.4,2.42
230.57462083,9.18348056,J152217.9+091100,FITS,15 22 17.909,+09 11 00.53,0.014,1.71,2.17,0.152,5.35,0.0,2.9,,,,2000.056,2451565.0,1.319
193.86943333,9.18345278,J125528.6+091100,FITS,12 55 28.664,+09 11 00.43,0.014,2.94,2.78,0.176,0.73,0.0,132.4,,s,,2000.056,2451564.9,1.315
155.71293333,9.18334444,J102251.1+091100,FITS,10 22 51.104,+09 11 00.04,0.014,1.36,1.43,0.153,3.59,0.0,8.1,,,,2000.054,2451564.3,0.511
19.82576667,9.18333889,J011918.1+091100,FITS,01 19 18.184,+09 11 00.02,0.014,2.32,1.49,0.114,0.0,0.0,79.7,,,,2009.373,2454968.5,2.587
165.0543625,9.18322778,J110013.0+091059,FITS,11 00 13.047,+09 10 59.62,0.014,12.7,22.15,0.209,5.1,4.2,116.2,,g,,2000.056,2451564.9,0.226
319.03794583,9.183225,J211609.1+091059,FITS,21 16 09.107,+09 10 59.61,0.725,1.35,2.63,0.213,11.05,0.0,101.2,,g,,2009.369,2454967.1,1.7
335.25335,9.18319444,J222100.8+091059,FITS,22 21 00.804,+09 10 59.50,0.014,29.54,33.87,0.11,2.97,0.95,63.6,,g,,2009.358,2454963.1,0.0
171.59409167,9.18317222,J112622.5+091059,FITS,11 26 22.582,+09 10 59.42,0.014,1.28,2.37,0.146,5.15,4.85,89.4,,,,2000.056,2451564.9,0.738
318.9640875,9.18309444,J211551.3+091059,FITS,21 15 51.381,+09 10 59.14,0.73,1.37,1.19,0.208,5.66,0.0,82.1,,,,2009.37,2454967.4,1.454
