_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
253.34043333,43.31704167,J165321.7+431901,FITS,16 53 21.704,+43 19 01.35,0.014,6.68,6.22,0.138,0.0,0.0,137.7,,g,,1996.498,2450265.6,407.986
128.8298,43.31699722,J083519.1+431901,FITS,08 35 19.152,+43 19 01.19,0.04,1.06,1.31,0.133,5.21,0.0,102.5,,g,,1997.137,2450499.5,0.978
152.27575,43.31691667,J100906.1+431900,FITS,10 09 06.180,+43 19 00.90,0.014,10.63,10.85,0.125,1.54,0.0,158.7,,g,,1997.137,2450499.7,0.606
108.34638333,43.31681944,J071323.1+431900,FITS,07 13 23.132,+43 19 00.55,0.18,1.31,1.72,0.195,4.61,0.0,165.8,,,,1997.136,2450499.2,1.328
186.38499167,43.31668611,J122532.3+431900,FITS,12 25 32.398,+43 19 00.07,0.014,1.3,0.92,0.151,0.36,0.0,90.2,,g,,1997.137,2450499.4,1.335
112.22012917,43.31651111,J072852.8+431859,FITS,07 28 52.831,+43 18 59.44,0.014,2.72,3.06,0.143,2.58,0.96,143.2,,g,,1997.136,2450499.2,1.248
114.205375,43.31640833,J073649.2+431859,FITS,07 36 49.290,+43 18 59.07,0.014,6.43,6.69,0.14,2.19,0.0,85.9,,g,,1997.137,2450499.4,1.083
254.79869583,43.31638611,J165911.6+431858,FITS,16 59 11.687,+43 18 58.99,0.014,1.98,3.17,0.141,5.21,3.08,70.3,,,,1995.239,2449805.6,407.95
255.7479,43.31625,J170259.4+431858,FITS,17 02 59.496,+43 18 58.50,0.025,1.25,0.96,0.129,0.0,0.0,17.2,,g,,1994.574,2449563.1,4.572
208.117,43.316175,J135228.0+431858,FITS,13 52 28.080,+43 18 58.23,0.014,1.54,1.73,0.147,2.49,0.98,75.2,,g,,1997.137,2450499.4,1.34
248.6430125,43.31615,J163434.3+431858,FITS,16 34 34.323,+43 18 58.14,0.014,2.63,3.64,0.149,4.65,1.65,84.2,,s,,1995.744,2449990.0,470.519
173.690975,43.316075,J113445.8+431857,FITS,11 34 45.834,+43 18 57.87,0.014,27.38,28.0,0.196,1.04,0.49,90.2,,s,,1997.137,2450499.4,1.292
260.90415417,43.316075,J172336.9+431857,FITS,17 23 36.997,+43 18 57.87,0.014,24.53,24.88,0.128,0.66,0.63,180.0,,s,,1994.574,2449563.0,5.239
195.67881667,43.31606667,J130242.9+431857,FITS,13 02 42.916,+43 18 57.84,0.014,3.6,11.4,0.126,10.48,5.68,65.0,,,,1997.138,2450499.8,0.69
254.7896375,43.31599444,J165909.5+431857,FITS,16 59 09.513,+43 18 57.58,0.014,6.68,8.18,0.142,3.7,0.7,85.7,,s,,1995.278,2449820.0,415.535
257.21865833,43.31590833,J170852.4+431857,FITS,17 08 52.478,+43 18 57.27,0.014,2.84,6.47,0.129,10.11,2.08,127.5,,,,1994.574,2449563.0,4.66
183.85065,43.31587778,J121524.1+431857,FITS,12 15 24.156,+43 18 57.16,0.014,1.99,2.41,0.129,3.29,1.49,18.1,,g,,1997.138,2450499.8,0.773
