_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
215.92990417,-3.10427778,J142343.1-030615,FITS,14 23 43.177,-03 06 15.40,0.014,7.88,8.16,0.141,1.95,0.0,19.3,,g,,1998.696,2451068.6,0.324
229.62040417,-3.10430833,J151828.8-030615,FITS,15 18 28.897,-03 06 15.51,0.014,6.85,8.21,0.142,2.96,2.23,42.6,,,,1998.678,2451061.9,1.71
183.79510833,-3.10434167,J121510.8-030615,FITS,12 15 10.826,-03 06 15.63,0.339,1.29,2.54,0.142,7.42,4.34,169.5,,g,,1998.701,2451070.5,0.611
10.26015,-3.10440278,J004102.4-030615,FITS,00 41 02.436,-03 06 15.85,0.032,5.5,18.84,0.35,12.28,6.52,152.7,,g,,2011.178,2455627.4,18.018
195.832075,-3.10441111,J130319.6-030615,FITS,13 03 19.698,-03 06 15.88,0.014,3.92,5.06,0.144,4.92,1.2,171.6,,g,,1998.699,2451069.5,0.347
215.71327917,-3.10444167,J142251.1-030615,FITS,14 22 51.187,-03 06 15.99,0.014,4.3,4.17,0.151,1.22,0.0,61.2,,g,,1998.695,2451068.3,2.15
348.14907083,-3.10453333,J231235.7-030616,FITS,23 12 35.777,-03 06 16.32,0.014,3.93,4.45,0.142,4.52,0.0,159.1,,g,,2011.29,2455668.2,0.004
36.39345,-3.10464167,J022534.4-030616,FITS,02 25 34.428,-03 06 16.71,0.014,1.18,0.65,0.125,0.0,0.0,89.7,,g,,2009.239,2454919.8,13.455
333.10172083,-3.10483611,J221224.4-030617,FITS,22 12 24.413,-03 06 17.41,0.014,3.05,2.59,0.147,0.0,0.0,1.7,,,,2011.18,2455628.1,4.693
23.32915,-3.10487778,J013318.9-030617,FITS,01 33 18.996,-03 06 17.56,0.014,2.17,2.83,0.125,4.47,0.48,90.8,,g,,2009.271,2454931.5,3.929
229.61824583,-3.10493611,J151828.3-030617,FITS,15 18 28.379,-03 06 17.77,0.014,20.0,26.55,0.141,3.83,2.7,107.4,,,,1998.678,2451061.9,1.705
145.3795375,-3.10493889,J094131.0-030617,FITS,09 41 31.089,-03 06 17.78,0.209,1.0,2.28,0.144,9.25,3.71,113.4,,,,1998.697,2451068.8,1.728
139.28399167,-3.10496111,J091708.1-030617,FITS,09 17 08.158,-03 06 17.86,0.014,7.95,7.85,0.153,0.72,0.0,176.3,,,,1998.678,2451062.0,1.144
178.8218125,-3.10500833,J115517.2-030618,FITS,11 55 17.235,-03 06 18.03,0.014,3.37,3.49,0.143,2.15,0.0,123.2,,,,1998.7,2451070.1,0.369
319.48649167,-3.10503333,J211756.7-030618,FITS,21 17 56.758,-03 06 18.12,0.181,3.27,4.42,0.32,5.23,0.0,99.3,,,,2011.161,2455621.3,9.523
136.64485833,-3.10504444,J090634.7-030618,FITS,09 06 34.766,-03 06 18.16,0.014,2.11,2.0,0.146,1.6,0.0,87.2,,,,1998.677,2451061.7,1.075
237.1167125,-3.10506111,J154828.0-030618,FITS,15 48 28.011,-03 06 18.22,0.014,3.86,4.12,0.145,3.28,0.0,139.4,,,,1998.678,2451062.0,1.7
222.22559167,-3.10507778,J144854.1-030618,FITS,14 48 54.142,-03 06 18.28,0.215,1.26,0.61,0.155,0.0,0.0,68.1,,g,,1998.694,2451067.9,1.606
167.06118333,-3.10511111,J110814.6-030618,FITS,11 08 14.684,-03 06 18.40,0.014,15.2,17.12,0.188,2.6,1.13,82.7,,,,1998.698,2451069.1,1.836
