_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
16.48239167,6.4694,J010555.7+062809,FITS,01 05 55.774,+06 28 09.84,0.014,257.03,283.1,0.074,2.43,0.81,66.0,,,,2009.296,2454940.7,25.787
49.65593333,6.46933333,J031837.4+062809,FITS,03 18 37.424,+06 28 09.60,0.014,2.88,2.04,0.176,0.0,0.0,106.6,,,,2011.246,2455652.4,26.185
329.0981875,6.46931944,J215623.5+062809,FITS,21 56 23.565,+06 28 09.55,0.202,1.15,1.55,0.132,7.64,0.0,28.6,,g,,2009.258,2454926.5,20.02
188.5794375,6.46930278,J123419.0+062809,FITS,12 34 19.065,+06 28 09.49,0.014,2.72,14.51,0.152,20.61,4.9,164.4,,,,2000.103,2451582.3,0.851
349.73563333,6.46915556,J231856.5+062808,FITS,23 18 56.552,+06 28 08.96,0.199,1.27,1.17,0.16,2.37,0.0,157.1,,,,2009.242,2454920.8,16.053
349.40485417,6.46914722,J231737.1+062808,FITS,23 17 37.165,+06 28 08.93,0.039,1.44,2.54,0.112,5.54,4.75,167.3,,,,2009.258,2454926.8,20.546
224.07698333,6.46912778,J145618.4+062808,FITS,14 56 18.476,+06 28 08.86,0.738,1.09,2.02,0.147,7.51,2.19,32.3,,s,,2000.1,2451581.2,0.812
170.566625,6.46911111,J112215.9+062808,FITS,11 22 15.990,+06 28 08.80,0.014,12.68,21.38,0.15,6.66,1.93,30.1,,s,,2000.103,2451582.2,0.836
247.87048333,6.46908333,J163128.9+062808,FITS,16 31 28.916,+06 28 08.70,0.014,3.06,3.28,0.149,2.81,0.0,30.5,,,,2000.101,2451581.3,1.293
357.17974583,6.46898611,J234843.1+062808,FITS,23 48 43.139,+06 28 08.35,0.339,2.49,2.47,0.174,0.89,0.0,140.5,,,,2009.239,2454919.6,8.717
357.1533125,6.46898333,J234836.7+062808,FITS,23 48 36.795,+06 28 08.34,0.339,1.37,1.43,0.174,3.86,0.0,178.2,,,,2009.238,2454919.2,7.422
193.69004167,6.46881944,J125445.6+062807,FITS,12 54 45.610,+06 28 07.75,0.014,6.26,6.98,0.151,1.89,1.74,179.9,,,,2000.103,2451582.2,0.482
42.31909167,6.46875278,J024916.5+062807,FITS,02 49 16.582,+06 28 07.51,0.014,21.71,21.75,0.267,0.85,0.0,68.9,,,,2011.241,2455650.5,15.804
183.7117375,6.4687,J121450.8+062807,FITS,12 14 50.817,+06 28 07.32,0.039,1.35,1.45,0.137,2.28,0.0,179.7,,s,,2000.102,2451581.9,0.193
315.14395,6.46861111,J210034.5+062807,FITS,21 00 34.548,+06 28 07.00,0.014,13.42,13.19,0.133,0.3,0.0,51.2,,s,,2009.301,2454942.2,13.59
13.55135,6.46852222,J005412.3+062806,FITS,00 54 12.324,+06 28 06.68,0.38,1.49,0.88,0.144,0.0,0.0,70.0,,g,,2009.224,2454914.3,0.0
45.40929167,6.4685,J030138.2+062806,FITS,03 01 38.230,+06 28 06.60,0.24,1.15,0.72,0.118,0.0,0.0,108.9,,,,2011.285,2455666.5,21.426
16.46927083,6.46839722,J010552.6+062806,FITS,01 05 52.625,+06 28 06.23,0.106,1.22,1.79,0.078,6.12,0.0,98.3,,g,,2009.294,2454939.9,25.791
172.72660417,6.46826944,J113054.3+062805,FITS,11 30 54.385,+06 28 05.77,0.014,3.92,13.43,0.155,13.61,4.18,12.0,,g,,2000.103,2451582.1,0.697
352.19957917,6.46821111,J232847.8+062805,FITS,23 28 47.899,+06 28 05.56,0.253,1.21,0.58,0.172,0.0,0.0,88.4,,g,,2009.239,2454919.6,15.069
