_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
197.36329167,3.71171944,J130927.1+034242,FITS,13 09 27.190,+03 42 42.19,0.014,6.26,6.34,0.151,1.68,0.0,164.4,,g,,1998.54,2451011.7,25.443
5.59005417,3.71168333,J002221.6+034242,FITS,00 22 21.613,+03 42 42.06,0.016,1.46,1.56,0.122,3.35,0.0,157.3,,g,,2009.292,2454939.1,1.102
213.60016667,3.711675,J141424.0+034242,FITS,14 14 24.040,+03 42 42.03,0.016,1.38,2.32,0.152,5.43,4.13,60.8,,,,1998.535,2451009.7,23.104
27.30261667,3.71167222,J014912.6+034242,FITS,01 49 12.628,+03 42 42.02,0.014,16.48,21.33,0.154,4.68,1.54,17.0,,,,2009.294,2454939.7,31.717
316.72445,3.71164722,J210653.8+034241,FITS,21 06 53.868,+03 42 41.93,0.056,1.2,1.41,0.131,3.24,1.38,116.4,,s,,2009.244,2454921.5,4.078
218.59915417,3.71156389,J143423.7+034241,FITS,14 34 23.797,+03 42 41.63,0.014,3.09,3.48,0.138,2.84,0.0,88.3,,,,1998.513,2451001.7,0.0
179.51929583,3.71148889,J115804.6+034241,FITS,11 58 04.631,+03 42 41.36,0.014,2.16,4.05,0.141,8.72,1.61,131.3,,s,,1998.512,2451001.4,0.275
6.03389167,3.71119444,J002408.1+034240,FITS,00 24 08.134,+03 42 40.30,0.014,10.28,11.06,0.136,1.97,1.28,165.6,,g,,2009.265,2454929.3,9.614
228.3951625,3.71108889,J151334.8+034239,FITS,15 13 34.839,+03 42 39.92,0.014,1.79,2.07,0.134,3.13,1.58,179.7,,,,1998.513,2451001.7,0.0
2.59245417,3.71108333,J001022.1+034239,FITS,00 10 22.189,+03 42 39.90,0.014,1.54,1.01,0.114,0.0,0.0,104.5,,,,2009.257,2454926.3,0.0
237.81057917,3.71103056,J155114.5+034239,FITS,15 51 14.539,+03 42 39.71,0.014,30.96,47.24,0.153,5.51,2.87,41.1,,g,,1998.547,2451014.0,27.598
138.44188333,3.71102778,J091346.0+034239,FITS,09 13 46.052,+03 42 39.70,0.014,5.39,5.3,0.206,0.94,0.0,69.3,,,,1998.509,2451000.4,0.005
42.98741667,3.71098889,J025156.9+034239,FITS,02 51 56.980,+03 42 39.56,0.014,3.18,2.85,0.116,0.85,0.0,87.0,,,,2009.306,2454944.3,10.477
338.08467083,3.71092222,J223220.3+034239,FITS,22 32 20.321,+03 42 39.32,0.014,3.49,2.6,0.133,0.0,0.0,68.5,,g,,2009.26,2454927.3,2.346
324.18651667,3.71081389,J213644.7+034238,FITS,21 36 44.764,+03 42 38.93,0.047,1.05,1.61,0.131,4.96,3.56,49.7,,s,,2009.249,2454923.2,2.455
175.29025,3.71079167,J114109.6+034238,FITS,11 41 09.660,+03 42 38.85,0.014,3.44,11.67,0.145,11.88,6.69,149.2,,,,1998.512,2451001.3,0.364
193.4234625,3.71066944,J125341.6+034238,FITS,12 53 41.631,+03 42 38.41,0.014,4.09,3.91,0.155,0.0,0.0,131.0,,,,1998.545,2451013.4,27.158
9.76238333,3.71066389,J003902.9+034238,FITS,00 39 02.972,+03 42 38.39,0.15,1.08,0.68,0.135,0.0,0.0,129.3,,,,2009.273,2454932.3,6.671
129.19910833,3.71063889,J083647.7+034238,FITS,08 36 47.786,+03 42 38.30,0.197,1.04,1.71,0.151,5.62,3.82,31.4,,,,1998.51,2451000.5,0.333
17.68270833,3.71063056,J011043.8+034238,FITS,01 10 43.850,+03 42 38.27,0.014,5.66,5.42,0.108,1.46,0.0,89.7,,,,2009.241,2454920.3,0.003
227.6033,3.71063056,J151024.7+034238,FITS,15 10 24.792,+03 42 38.27,0.014,1.39,1.37,0.137,3.31,0.0,26.9,,g,,1998.513,2451001.7,0.0
154.30801667,3.71052778,J101713.9+034237,FITS,10 17 13.924,+03 42 37.90,0.016,1.28,1.06,0.149,2.25,0.0,107.7,,g,,1998.51,2451000.6,0.321
28.0699375,3.71046389,J015216.7+034237,FITS,01 52 16.785,+03 42 37.67,0.014,2.59,3.11,0.118,3.91,0.0,86.3,,,,2009.285,2454936.5,31.632
219.89937917,3.71045278,J143935.8+034237,FITS,14 39 35.851,+03 42 37.63,0.014,3.04,6.16,0.164,8.7,3.04,133.2,,g,,1998.535,2451009.9,23.28
131.16024583,3.71033056,J084438.4+034237,FITS,08 44 38.459,+03 42 37.19,0.014,2.62,2.45,0.151,0.38,0.0,91.9,,,,1998.51,2451000.6,0.45
130.3494625,3.71032222,J084123.8+034237,FITS,08 41 23.871,+03 42 37.16,0.014,2.41,3.17,0.152,3.6,2.85,89.3,,,,1998.51,2451000.5,0.402
221.58826667,3.71014167,J144621.1+034236,FITS,14 46 21.184,+03 42 36.51,0.014,1.91,1.83,0.135,0.69,0.0,0.4,,,,1998.513,2451001.7,0.159
209.40513333,3.71010278,J135737.2+034236,FITS,13 57 37.232,+03 42 36.37,0.014,1.32,1.22,0.153,1.74,0.0,89.8,,,,1998.534,2451009.5,22.875
136.03460833,3.71008611,J090408.3+034236,FITS,09 04 08.306,+03 42 36.31,0.014,2.03,2.11,0.14,2.84,0.0,122.0,,,,1998.509,2451000.4,0.182
186.03232083,3.71007778,J122407.7+034236,FITS,12 24 07.757,+03 42 36.28,0.188,1.57,1.07,0.202,0.0,0.0,69.2,,g,,1998.511,2451001.0,0.497
16.17283333,3.71006667,J010441.4+034236,FITS,01 04 41.480,+03 42 36.24,0.014,2.69,3.05,0.096,4.18,0.0,95.6,,,,2009.349,2454959.8,7.614
217.66282083,3.71006389,J143039.0+034236,FITS,14 30 39.077,+03 42 36.23,0.014,8.12,9.18,0.152,3.23,0.0,56.9,,s,,1998.533,2451009.1,22.25
1.8223,3.70982222,J000717.3+034235,FITS,00 07 17.352,+03 42 35.36,0.014,31.7,34.63,0.119,2.44,1.04,20.0,,,,2009.183,2454899.3,5.187
313.55492917,3.70970833,J205413.1+034234,FITS,20 54 13.183,+03 42 34.95,0.014,4.9,5.46,0.153,3.37,0.0,77.7,,g,,2011.226,2455644.9,16.476
232.1058,3.70968611,J152825.3+034234,FITS,15 28 25.392,+03 42 34.87,0.016,1.38,1.31,0.137,1.11,0.0,40.4,,,,1998.513,2451001.7,0.0
164.50346667,3.70962222,J105800.8+034234,FITS,10 58 00.832,+03 42 34.64,0.056,1.03,1.57,0.137,7.33,0.0,159.0,,,,1998.512,2451001.3,0.287
184.97795833,3.70954722,J121954.7+034234,FITS,12 19 54.710,+03 42 34.37,0.014,15.56,15.71,0.137,1.12,0.0,135.3,,g,,1998.512,2451001.5,0.267
313.55005,3.70952778,J205412.0+034234,FITS,20 54 12.012,+03 42 34.30,0.014,1.77,1.63,0.153,3.02,0.0,64.8,,g,,2011.226,2455645.0,16.53
338.0729125,3.70946944,J223217.4+034234,FITS,22 32 17.499,+03 42 34.09,0.014,1.67,1.15,0.132,2.37,0.0,68.9,,g,,2009.26,2454927.2,2.264
8.90793333,3.70943056,J003537.9+034233,FITS,00 35 37.904,+03 42 33.95,0.014,1.2,0.66,0.136,0.0,0.0,97.2,,,,2009.276,2454933.4,10.455
149.31285417,3.70939167,J095715.0+034233,FITS,09 57 15.085,+03 42 33.81,0.07,1.34,0.93,0.16,0.0,0.0,58.9,,g,,1998.51,2451000.7,0.442
125.27949167,3.70927222,J082107.0+034233,FITS,08 21 07.078,+03 42 33.38,0.014,11.19,13.6,0.154,3.74,1.26,134.6,,g,,1998.51,2451000.7,0.478
156.98580417,3.70910833,J102756.5+034232,FITS,10 27 56.593,+03 42 32.79,0.014,4.38,4.65,0.144,1.98,0.0,76.3,,g,,1998.51,2451000.6,0.253
234.31805833,3.7091,J153716.3+034232,FITS,15 37 16.334,+03 42 32.76,0.014,1.22,0.99,0.138,1.53,0.0,58.3,,,,1998.513,2451001.7,0.192
337.6092375,3.70907222,J223026.2+034232,FITS,22 30 26.217,+03 42 32.66,0.195,1.77,1.23,0.211,0.0,0.0,88.5,,,,2009.287,2454937.2,15.755
219.65897083,3.70890278,J143838.1+034232,FITS,14 38 38.153,+03 42 32.05,0.877,1.47,2.0,0.227,4.51,2.53,19.1,,g,,1998.544,2451013.1,26.831
175.292175,3.70875556,J114110.1+034231,FITS,11 41 10.122,+03 42 31.52,0.014,5.62,9.17,0.145,5.8,3.66,176.4,,,,1998.512,2451001.3,0.365
242.74278333,3.70861944,J161058.2+034231,FITS,16 10 58.268,+03 42 31.03,0.042,1.16,1.63,0.142,5.91,0.0,43.8,,g,,1998.519,2451004.1,13.012
54.39494583,3.70859167,J033734.7+034230,FITS,03 37 34.787,+03 42 30.93,0.014,4.31,4.06,0.135,0.6,0.0,52.9,,,,2011.194,2455633.5,0.0
194.01220833,3.708575,J125602.9+034230,FITS,12 56 02.930,+03 42 30.87,0.014,1.91,3.43,0.144,7.17,2.76,68.9,,,,1998.521,2451004.7,15.012
175.20325833,3.70856111,J114048.7+034230,FITS,11 40 48.782,+03 42 30.82,0.014,5.23,5.89,0.133,2.84,0.86,47.9,,g,,1998.512,2451001.4,0.206
226.02192083,3.70849722,J150405.2+034230,FITS,15 04 05.261,+03 42 30.59,0.183,1.14,0.83,0.143,1.91,0.0,86.2,,g,,1998.518,2451003.5,11.582
228.62379583,3.70843056,J151429.7+034230,FITS,15 14 29.711,+03 42 30.35,0.014,30.16,36.51,0.153,3.66,0.65,75.4,,,,1998.54,2451011.5,25.101
322.9161375,3.70837222,J213139.8+034230,FITS,21 31 39.873,+03 42 30.14,0.014,8.2,8.21,0.122,1.25,0.0,76.9,,g,,2009.257,2454926.1,0.0
136.71517083,3.70832222,J090651.6+034229,FITS,09 06 51.641,+03 42 29.96,0.014,7.52,9.12,0.173,3.31,2.17,170.0,,g,,1998.51,2451000.5,0.302
343.15204167,3.70826944,J225236.4+034229,FITS,22 52 36.490,+03 42 29.77,0.877,1.4,1.21,0.215,0.0,0.0,83.9,,,,2009.238,2454919.2,0.0
30.41261667,3.70826111,J020139.0+034229,FITS,02 01 39.028,+03 42 29.74,0.014,19.17,22.84,0.12,3.15,1.96,28.9,,s,,2009.239,2454919.6,1.109
147.0128125,3.70825,J094803.0+034229,FITS,09 48 03.075,+03 42 29.70,0.014,6.89,6.95,0.151,1.44,0.0,77.2,,g,,1998.51,2451000.8,0.451
142.8483375,3.70824167,J093123.6+034229,FITS,09 31 23.601,+03 42 29.67,0.016,1.94,1.55,0.137,0.0,0.0,90.5,,,,1998.509,2451000.4,0.0
318.93499167,3.70822222,J211544.3+034229,FITS,21 15 44.398,+03 42 29.60,0.014,9.87,29.47,0.135,9.39,7.27,155.9,,,,2009.251,2454924.2,7.196
28.1124375,3.70820278,J015226.9+034229,FITS,01 52 26.985,+03 42 29.53,0.014,3.78,3.52,0.117,1.71,0.0,90.0,,g,,2009.287,2454937.3,31.909
230.48880833,3.70819167,J152157.3+034229,FITS,15 21 57.314,+03 42 29.49,0.322,1.09,0.55,0.138,0.0,0.0,107.9,,,,1998.521,2451004.8,14.933
170.02958333,3.70813889,J112007.1+034229,FITS,11 20 07.100,+03 42 29.30,0.014,2.0,2.78,0.144,4.15,2.9,90.9,,,,1998.512,2451001.3,0.343
193.354,3.70811389,J125324.9+034229,FITS,12 53 24.960,+03 42 29.21,0.635,1.05,2.99,0.157,9.57,6.64,173.4,,,,1998.536,2451010.2,23.808
219.90261667,3.70803333,J143936.6+034228,FITS,14 39 36.628,+03 42 28.92,0.014,4.08,6.35,0.164,5.49,3.16,135.9,,g,,1998.535,2451009.9,23.306
28.3967125,3.70799444,J015335.2+034228,FITS,01 53 35.211,+03 42 28.78,0.081,1.69,2.5,0.126,6.62,0.0,149.4,,,,2009.256,2454926.0,32.151
189.97237083,3.70789722,J123953.3+034228,FITS,12 39 53.369,+03 42 28.43,0.014,16.45,29.49,0.145,5.61,4.89,180.0,,,,1998.512,2451001.4,0.361
214.7748375,3.70787778,J141905.9+034228,FITS,14 19 05.961,+03 42 28.36,0.104,1.48,6.58,0.137,18.94,5.39,15.3,,s,,1998.518,2451003.4,11.349
229.68365,3.70784167,J151844.0+034228,FITS,15 18 44.076,+03 42 28.23,0.014,1.34,0.96,0.148,0.0,0.0,156.9,,g,,1998.53,2451008.0,20.616
217.7697125,3.70779444,J143104.7+034228,FITS,14 31 04.731,+03 42 28.06,0.014,1.11,1.03,0.136,4.59,0.0,168.3,,g,,1998.518,2451003.6,11.845
245.05026667,3.70777222,J162012.0+034227,FITS,16 20 12.064,+03 42 27.98,0.014,2.43,2.14,0.145,1.63,0.0,75.6,,,,1998.527,2451007.0,19.034
139.20723333,3.70775278,J091649.7+034227,FITS,09 16 49.736,+03 42 27.91,0.014,9.27,9.51,0.178,1.38,0.0,49.0,,g,,1998.509,2451000.4,0.172
184.16713333,3.70774444,J121640.1+034227,FITS,12 16 40.112,+03 42 27.88,0.014,7.38,19.3,0.25,13.03,3.1,4.4,,g,,1998.512,2451001.5,0.158
55.27619167,3.707675,J034106.2+034227,FITS,03 41 06.286,+03 42 27.63,0.016,2.53,2.91,0.154,3.51,0.0,97.5,,s,,2011.194,2455633.5,0.0
343.23471667,3.70763611,J225256.3+034227,FITS,22 52 56.332,+03 42 27.49,0.27,2.06,1.67,0.209,0.78,0.0,72.5,,,,2009.241,2454920.6,3.454
177.69327083,3.70761111,J115046.3+034227,FITS,11 50 46.385,+03 42 27.40,0.014,1.55,2.67,0.151,6.34,3.62,38.1,,,,1998.511,2451001.0,0.491
324.41158333,3.7076,J213738.7+034227,FITS,21 37 38.780,+03 42 27.36,0.014,8.42,8.04,0.117,0.35,0.0,118.9,,g,,2009.243,2454921.3,0.781
232.33424167,3.70755556,J152920.2+034227,FITS,15 29 20.218,+03 42 27.20,0.269,1.07,2.45,0.153,9.53,3.77,132.0,,g,,1998.533,2451009.2,22.276
210.6035875,3.70752778,J140224.8+034227,FITS,14 02 24.861,+03 42 27.10,0.014,501.26,540.42,0.15,2.05,1.23,14.6,,,,1998.536,2451010.3,23.837
168.51450833,3.70745278,J111403.4+034226,FITS,11 14 03.482,+03 42 26.83,0.126,1.08,0.82,0.144,3.43,0.0,23.8,,g,,1998.512,2451001.3,0.315
6.90760417,3.70744167,J002737.8+034226,FITS,00 27 37.825,+03 42 26.79,0.014,2.32,2.14,0.136,2.75,0.0,152.2,,,,2009.211,2454909.4,15.878
178.04629583,3.70741944,J115211.1+034226,FITS,11 52 11.111,+03 42 26.71,0.016,1.1,1.57,0.136,7.14,0.0,84.1,,g,,1998.512,2451001.5,0.219
341.69616667,3.70741111,J224647.0+034226,FITS,22 46 47.080,+03 42 26.68,0.014,21.84,42.62,0.081,9.16,0.91,114.8,,,,2009.256,2454925.9,27.329
226.48571667,3.70731944,J150556.5+034226,FITS,15 05 56.572,+03 42 26.35,0.014,7.52,8.83,0.149,3.14,1.3,113.4,,g,,1998.55,2451015.3,28.656
222.2655875,3.70726111,J144903.7+034226,FITS,14 49 03.741,+03 42 26.14,0.014,10.93,25.12,0.14,10.09,2.82,107.6,,,,1998.519,2451003.8,12.288
335.60241667,3.70721389,J222224.5+034225,FITS,22 22 24.580,+03 42 25.97,0.014,13.4,17.39,0.122,4.14,2.34,0.3,,,,2009.257,2454926.2,0.0
318.93209167,3.70721111,J211543.7+034225,FITS,21 15 43.702,+03 42 25.96,0.014,3.66,36.64,0.135,20.69,14.99,145.3,,,,2009.252,2454924.4,7.28
359.5649875,3.70720833,J235815.5+034225,FITS,23 58 15.597,+03 42 25.95,0.014,9.84,9.94,0.119,1.57,0.0,49.1,,,,2009.257,2454926.2,0.0
315.4021125,3.70720556,J210136.5+034225,FITS,21 01 36.507,+03 42 25.94,0.095,1.24,2.79,0.103,8.6,4.24,105.8,,,,2009.278,2454934.1,0.0
140.69072083,3.70713611,J092245.7+034225,FITS,09 22 45.773,+03 42 25.69,0.014,22.68,31.98,0.136,4.59,2.57,107.2,,s,,1998.509,2451000.4,0.149
238.72197083,3.70713333,J155453.2+034225,FITS,15 54 53.273,+03 42 25.68,0.014,6.04,19.09,0.151,10.41,7.03,146.8,,,,1998.524,2451005.7,16.79
328.87384167,3.70713333,J215529.7+034225,FITS,21 55 29.722,+03 42 25.68,0.115,1.52,1.07,0.111,1.9,0.0,28.9,,,,2009.177,2454897.2,0.0
215.2292375,3.70709167,J142055.0+034225,FITS,14 20 55.017,+03 42 25.53,0.014,2.82,2.94,0.152,2.47,0.0,102.1,,g,,1998.551,2451015.6,28.954
208.23597083,3.70701111,J135256.6+034225,FITS,13 52 56.633,+03 42 25.24,0.014,2.3,2.12,0.139,1.0,0.0,98.1,,g,,1998.519,2451003.8,12.46
207.52517917,3.70700278,J135006.0+034225,FITS,13 50 06.043,+03 42 25.21,0.3,1.01,1.65,0.143,6.09,3.52,8.1,,s,,1998.523,2451005.5,16.502
246.0991375,3.70699167,J162423.7+034225,FITS,16 24 23.793,+03 42 25.17,0.156,1.11,0.83,0.153,1.03,0.0,80.1,,,,1998.544,2451013.1,26.713
5.04069167,3.70688611,J002009.7+034224,FITS,00 20 09.766,+03 42 24.79,0.101,1.18,0.94,0.107,4.78,0.0,55.5,,s,,2009.296,2454940.4,9.935
243.23265833,3.70686111,J161255.8+034224,FITS,16 12 55.838,+03 42 24.70,0.014,19.32,24.33,0.145,4.21,1.72,167.2,,,,1998.523,2451005.2,15.693
333.99782083,3.70684722,J221559.4+034224,FITS,22 15 59.477,+03 42 24.65,0.014,1.61,1.28,0.121,0.57,0.0,70.2,,s,,2009.258,2454926.6,1.564
189.40986667,3.70680833,J123738.3+034224,FITS,12 37 38.368,+03 42 24.51,0.016,1.14,1.52,0.136,5.16,1.29,18.5,,g,,1998.512,2451001.5,0.0
150.93895833,3.70680556,J100345.3+034224,FITS,10 03 45.350,+03 42 24.50,0.014,1.62,3.63,0.15,8.25,4.9,140.1,,,,1998.51,2451000.6,0.331
202.57401667,3.70672222,J133017.7+034224,FITS,13 30 17.764,+03 42 24.20,0.014,1.35,0.85,0.15,0.0,0.0,86.5,,,,1998.547,2451014.1,27.733
315.44322083,3.70672222,J210146.3+034224,FITS,21 01 46.373,+03 42 24.20,0.114,1.6,1.68,0.104,2.45,0.0,22.3,,s,,2009.277,2454933.6,1.711
137.88078333,3.70669722,J091131.3+034224,FITS,09 11 31.388,+03 42 24.11,0.582,1.22,0.57,0.159,0.0,0.0,97.6,,g,,1998.51,2451000.6,0.427
181.90721667,3.70668056,J120737.7+034224,FITS,12 07 37.732,+03 42 24.05,0.014,1.07,1.5,0.137,6.48,0.0,95.3,,,,1998.512,2451001.5,0.0
344.3710625,3.70666667,J225729.0+034224,FITS,22 57 29.055,+03 42 24.00,0.014,3.05,2.81,0.134,1.24,0.0,94.1,,g,,2009.237,2454919.0,14.309
16.18101667,3.70665556,J010443.4+034223,FITS,01 04 43.444,+03 42 23.96,0.014,1.68,2.53,0.097,6.61,1.67,2.8,,g,,2009.348,2454959.6,8.077
238.7196625,3.70665278,J155452.7+034223,FITS,15 54 52.719,+03 42 23.95,0.014,6.94,62.43,0.151,23.6,11.14,77.6,,g,,1998.524,2451005.9,17.077
232.15505833,3.70663889,J152837.2+034223,FITS,15 28 37.214,+03 42 23.90,0.014,2.85,3.77,0.138,5.71,0.0,163.1,,,,1998.513,2451001.7,0.0
