_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
227.31750833,38.79921389,J150916.2+384757,FITS,15 09 16.202,+38 47 57.17,0.014,2.79,6.82,0.142,9.48,3.68,6.2,,g,,1994.617,2449578.9,10.859
122.54142083,38.79914444,J081009.9+384756,FITS,08 10 09.941,+38 47 56.92,0.014,26.68,27.16,0.141,1.09,0.0,146.9,,s,,1994.611,2449576.4,1.881
137.60264583,38.79906667,J091024.6+384756,FITS,09 10 24.635,+38 47 56.64,0.014,2.48,2.59,0.137,1.9,0.0,61.9,,g,,1994.611,2449576.5,1.757
240.7634875,38.79884167,J160303.2+384755,FITS,16 03 03.237,+38 47 55.83,0.577,1.09,2.32,0.148,6.63,4.81,98.8,,,,1994.605,2449574.5,2.525
170.80983333,38.79880556,J112314.3+384755,FITS,11 23 14.360,+38 47 55.70,0.014,1.69,1.2,0.142,0.0,0.0,18.5,,,,1994.609,2449575.6,2.425
122.64735833,38.7986,J081035.3+384754,FITS,08 10 35.366,+38 47 54.96,0.058,1.08,0.7,0.137,0.0,0.0,90.3,,g,,1994.611,2449576.5,1.76
255.53490833,38.79857778,J170208.3+384754,FITS,17 02 08.378,+38 47 54.88,0.014,8.57,10.09,0.171,3.03,1.24,135.9,,s,,1994.61,2449576.1,2.32
149.38945833,38.79819167,J095733.4+384753,FITS,09 57 33.470,+38 47 53.49,0.014,33.65,35.31,0.149,1.47,0.85,163.0,,s,,1994.607,2449575.0,2.553
258.49501667,38.79815833,J171358.8+384753,FITS,17 13 58.804,+38 47 53.37,0.014,1.23,2.43,0.14,7.68,2.98,124.7,,g,,1994.611,2449576.4,2.109
217.1798,38.79799167,J142843.1+384752,FITS,14 28 43.152,+38 47 52.77,0.014,4.7,4.18,0.133,0.0,0.0,100.8,,s,,1994.611,2449576.7,1.847
192.324375,38.797875,J124917.8+384752,FITS,12 49 17.850,+38 47 52.35,0.636,1.02,0.69,0.135,0.0,0.0,63.5,,,,1994.611,2449576.6,1.834
247.71754167,38.79769722,J163052.2+384751,FITS,16 30 52.210,+38 47 51.71,0.016,1.27,1.49,0.14,3.97,0.0,38.8,,,,1994.61,2449576.1,2.314
130.04614583,38.79766667,J084011.0+384751,FITS,08 40 11.075,+38 47 51.60,0.131,1.07,0.91,0.139,1.22,0.0,164.9,,g,,1994.611,2449576.4,1.861
189.97924167,38.797575,J123955.0+384751,FITS,12 39 55.018,+38 47 51.27,0.014,7.48,9.03,0.141,3.11,1.66,154.0,,,,1994.61,2449576.1,2.256
137.68420833,38.79742778,J091044.2+384750,FITS,09 10 44.210,+38 47 50.74,0.185,1.03,0.92,0.138,2.12,0.0,55.8,,,,1994.611,2449576.4,1.867
236.57322083,38.79734167,J154617.5+384750,FITS,15 46 17.573,+38 47 50.43,0.014,1.85,1.4,0.135,0.0,0.0,178.6,,,,1994.612,2449576.7,1.842
244.43093333,38.79731111,J161743.4+384750,FITS,16 17 43.424,+38 47 50.32,0.014,3.34,2.56,0.142,0.0,0.0,156.1,,g,,1994.606,2449574.7,2.547
150.35132917,38.79723889,J100124.3+384750,FITS,10 01 24.319,+38 47 50.06,0.014,42.36,53.82,0.137,3.28,2.29,2.1,,s,,1994.611,2449576.6,1.772
192.85322083,38.79708056,J125124.7+384749,FITS,12 51 24.773,+38 47 49.49,0.014,1.18,2.16,0.146,7.66,1.82,70.6,,g,,1994.606,2449574.8,2.564
117.82219583,38.79684167,J075117.3+384748,FITS,07 51 17.327,+38 47 48.63,0.014,13.96,13.73,0.144,0.44,0.0,16.5,,g,,1994.605,2449574.3,2.548
110.65059583,38.79667778,J072236.1+384748,FITS,07 22 36.143,+38 47 48.04,0.014,1.73,2.69,0.128,4.69,3.34,90.2,,g,,1997.163,2450509.1,15.289
