_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
133.597625,34.52740556,J085423.4+343138,FITS,08 54 23.430,+34 31 38.66,0.014,1.85,1.5,0.142,0.0,0.0,142.4,,g,,1994.495,2449534.3,2.042
119.688275,34.52723889,J075845.1+343138,FITS,07 58 45.186,+34 31 38.06,0.014,18.09,27.2,0.141,4.53,3.08,49.5,,g,,1994.489,2449532.0,2.428
201.82754583,34.52723889,J132718.6+343138,FITS,13 27 18.611,+34 31 38.06,0.195,2.4,3.19,0.181,6.97,0.0,147.5,,,,1994.496,2449534.7,1.904
242.48688333,34.52720833,J160956.8+343137,FITS,16 09 56.852,+34 31 37.95,0.014,6.59,12.16,0.143,6.01,3.89,59.6,,g,,1994.492,2449533.0,2.547
201.7563625,34.52717222,J132701.5+343137,FITS,13 27 01.527,+34 31 37.82,0.789,1.16,1.07,0.176,2.59,0.0,156.9,,,,1994.496,2449534.7,1.904
239.38075833,34.52712778,J155731.3+343137,FITS,15 57 31.382,+34 31 37.66,0.014,1.08,0.64,0.141,0.0,0.0,90.6,,s,,1994.495,2449534.2,2.251
168.22433333,34.52708056,J111253.8+343137,FITS,11 12 53.840,+34 31 37.49,0.014,5.3,5.1,0.144,0.08,0.0,19.4,,g,,1994.492,2449532.9,2.55
118.37715,34.52704444,J075330.5+343137,FITS,07 53 30.516,+34 31 37.36,0.014,1.84,5.65,0.142,10.05,5.71,0.4,,,,1994.495,2449534.0,2.207
219.89922917,34.52700556,J143935.8+343137,FITS,14 39 35.815,+34 31 37.22,0.014,5.58,12.6,0.14,8.85,3.34,150.8,,,,1994.495,2449534.0,2.354
188.7432125,34.52691667,J123458.3+343136,FITS,12 34 58.371,+34 31 36.90,0.014,3.42,3.07,0.141,0.0,0.0,153.9,,,,1994.491,2449532.6,2.524
181.41905,34.526725,J120540.5+343136,FITS,12 05 40.572,+34 31 36.21,0.014,1.36,1.0,0.136,0.0,0.0,149.4,,g,,1994.496,2449534.6,1.933
118.37093333,34.52670833,J075329.0+343136,FITS,07 53 29.024,+34 31 36.15,0.014,25.42,31.05,0.142,3.58,1.03,121.1,,g,,1994.494,2449533.9,2.245
142.265025,34.52668611,J092903.6+343136,FITS,09 29 03.606,+34 31 36.07,0.014,20.03,21.47,0.147,1.88,0.86,85.6,,s,,1994.491,2449532.7,2.548
