_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
253.04307083,59.75656667,J165210.3+594523,FITS,16 52 10.337,+59 45 23.64,0.014,2.29,3.5,0.15,4.29,3.57,90.1,,,,2002.512,2452462.3,1.215
181.90425,59.75644444,J120737.0+594523,FITS,12 07 37.020,+59 45 23.20,0.014,6.78,15.54,0.153,8.59,3.78,145.3,,g,,2002.508,2452460.8,0.437
241.27121667,59.75639722,J160505.0+594523,FITS,16 05 05.092,+59 45 23.03,0.216,1.16,0.78,0.152,1.21,0.0,73.7,,s,,2002.515,2452463.3,1.492
161.02524583,59.75610833,J104406.0+594521,FITS,10 44 06.059,+59 45 21.99,0.262,1.0,1.15,0.146,4.5,0.0,155.0,,g,,2002.507,2452460.6,0.327
146.27516667,59.75597222,J094506.0+594521,FITS,09 45 06.040,+59 45 21.50,0.014,2.58,6.95,0.139,11.94,2.63,3.6,,g,,2002.507,2452460.5,0.173
162.092425,59.75578056,J104822.1+594520,FITS,10 48 22.182,+59 45 20.81,0.014,5.14,5.54,0.174,2.56,0.0,45.7,,,,2002.509,2452461.1,0.46
264.334225,59.75558889,J173720.2+594520,FITS,17 37 20.214,+59 45 20.12,0.095,1.11,1.1,0.152,3.83,0.0,171.7,,,,2001.971,2452265.1,212.091
230.31644167,59.75556944,J152115.9+594520,FITS,15 21 15.946,+59 45 20.05,0.014,270.89,352.0,0.14,4.31,0.95,20.4,,g,,2002.51,2452461.8,0.73
105.77157083,59.75529722,J070305.1+594519,FITS,07 03 05.177,+59 45 19.07,0.014,6.51,6.88,0.135,1.85,0.0,8.5,,,,2001.37,2452045.6,52.409
190.512925,59.75522778,J124203.1+594518,FITS,12 42 03.102,+59 45 18.82,0.101,1.4,1.03,0.146,2.83,0.0,4.4,,g,,2002.509,2452461.2,0.455
209.1817875,59.75515278,J135643.6+594518,FITS,13 56 43.629,+59 45 18.55,0.02,1.05,1.26,0.139,5.32,0.0,87.2,,s,,2002.51,2452461.7,0.522
204.638125,59.75475,J133833.1+594517,FITS,13 38 33.150,+59 45 17.10,0.016,1.49,1.5,0.14,2.46,0.0,54.1,,s,,2002.51,2452461.7,0.51
137.248825,59.75470833,J090859.7+594516,FITS,09 08 59.718,+59 45 16.95,0.014,1.47,1.61,0.142,2.8,0.0,102.8,,,,2002.507,2452460.4,0.175
254.63744583,59.75460556,J165832.9+594516,FITS,16 58 32.987,+59 45 16.58,0.014,3.77,4.11,0.155,2.47,0.0,5.2,,,,2002.513,2452462.7,1.416
213.27235833,59.75388889,J141305.3+594514,FITS,14 13 05.366,+59 45 14.00,0.014,9.09,11.65,0.156,3.69,1.87,139.4,,s,,2002.513,2452462.8,1.698
152.2020625,59.75366389,J100848.4+594513,FITS,10 08 48.495,+59 45 13.19,0.801,1.02,1.09,0.141,3.76,0.0,96.4,,,,2002.507,2452460.5,0.225
264.33010833,59.75351389,J173719.2+594512,FITS,17 37 19.226,+59 45 12.65,0.014,2.09,5.08,0.153,9.47,3.6,30.4,,s,,2001.979,2452267.9,211.873
137.1630375,59.75348611,J090839.1+594512,FITS,09 08 39.129,+59 45 12.55,0.014,3.97,4.34,0.142,3.18,0.0,23.4,,g,,2002.507,2452460.5,0.246
118.7348875,59.75341111,J075456.3+594512,FITS,07 54 56.373,+59 45 12.28,0.655,1.11,1.03,0.153,3.37,0.0,124.1,,,,2001.349,2452038.0,3.802
125.8827625,59.75303611,J082331.8+594510,FITS,08 23 31.863,+59 45 10.93,0.014,1.81,1.24,0.148,0.0,0.0,2.1,,s,,2001.635,2452142.3,180.235
146.27470417,59.75302222,J094505.9+594510,FITS,09 45 05.929,+59 45 10.88,0.014,4.0,6.13,0.138,4.63,3.23,51.8,,s,,2002.507,2452460.5,0.167
265.9250375,59.75285833,J174342.0+594510,FITS,17 43 42.009,+59 45 10.29,0.016,1.31,1.79,0.151,5.74,0.0,152.6,,g,,2001.742,2452181.2,200.59
196.21363333,59.75263333,J130451.2+594509,FITS,13 04 51.272,+59 45 09.48,0.014,2.01,2.64,0.156,4.14,1.62,60.2,,,,2002.508,2452461.0,0.49
177.35525833,59.75256389,J114925.2+594509,FITS,11 49 25.262,+59 45 09.23,0.017,1.71,1.66,0.157,2.93,0.0,49.4,,g,,2002.508,2452460.9,0.462
