_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
110.40142083,36.81904722,J072136.3+364908,FITS,07 21 36.341,+36 49 08.57,0.014,8.39,13.27,0.146,5.33,2.79,91.1,,g,,1997.219,2450529.5,0.896
243.7212625,36.81903056,J161453.1+364908,FITS,16 14 53.103,+36 49 08.51,0.014,78.69,80.2,0.15,0.97,0.45,36.4,,g,,1994.625,2449581.5,110.95
129.4849625,36.81858889,J083756.3+364906,FITS,08 37 56.391,+36 49 06.92,0.014,36.39,105.5,0.163,8.09,6.81,54.2,,,,1994.554,2449555.7,1.711
154.1324125,36.81845,J101631.7+364906,FITS,10 16 31.779,+36 49 06.42,0.014,2.2,1.84,0.133,0.0,0.0,25.5,,,,1994.555,2449556.0,1.337
249.9549,36.81845,J163949.1+364906,FITS,16 39 49.176,+36 49 06.42,0.014,1.46,1.34,0.141,2.91,0.0,176.1,,s,,1994.596,2449571.2,85.04
257.3760875,36.81843056,J170930.2+364906,FITS,17 09 30.261,+36 49 06.35,0.804,1.05,0.75,0.151,0.0,0.0,5.2,,s,,1994.57,2449561.5,17.055
197.01807917,36.81829444,J130804.3+364905,FITS,13 08 04.339,+36 49 05.86,0.522,1.03,0.62,0.143,0.0,0.0,128.4,,s,,1994.554,2449555.7,1.936
197.31649167,36.81812222,J130915.9+364905,FITS,13 09 15.958,+36 49 05.24,0.102,1.26,1.7,0.155,6.92,0.0,46.7,,,,1994.551,2449554.5,2.658
212.65973333,36.81807778,J141038.3+364905,FITS,14 10 38.336,+36 49 05.08,0.59,2.59,1.62,0.453,0.0,0.0,152.2,,g,,1994.555,2449556.1,1.39
195.8621375,36.81794722,J130326.9+364904,FITS,13 03 26.913,+36 49 04.61,0.014,5.93,5.83,0.149,0.84,0.0,69.2,,s,,1994.58,2449565.2,20.375
261.73175417,36.81784444,J172655.6+364904,FITS,17 26 55.621,+36 49 04.24,0.014,1.23,1.58,0.153,6.08,0.0,176.8,,g,,1994.574,2449563.1,19.361
217.66914583,36.81781667,J143040.5+364904,FITS,14 30 40.595,+36 49 04.14,0.014,160.06,162.01,0.148,0.9,0.0,157.8,,s,,1994.553,2449555.3,2.324
236.2899625,36.81778333,J154509.5+364904,FITS,15 45 09.591,+36 49 04.02,0.014,5.02,4.96,0.153,0.0,0.0,90.0,,,,1994.682,2449602.3,150.033
194.29665833,36.81772222,J125711.1+364903,FITS,12 57 11.198,+36 49 03.80,0.877,1.27,1.02,0.18,1.1,0.0,86.1,,g,,1994.55,2449554.4,2.68
206.53084167,36.81770556,J134607.4+364903,FITS,13 46 07.402,+36 49 03.74,0.014,1.29,3.72,0.141,10.1,4.98,141.4,,,,1994.555,2449556.0,1.612
206.47355,36.81769444,J134553.6+364903,FITS,13 45 53.652,+36 49 03.70,0.014,28.03,45.31,0.144,6.27,1.82,131.9,,g,,1994.554,2449555.7,1.995
141.63999583,36.81766389,J092633.5+364903,FITS,09 26 33.599,+36 49 03.59,0.014,6.45,8.45,0.152,4.25,1.31,47.1,,,,1994.551,2449554.6,2.564
114.002375,36.81755,J073600.5+364903,FITS,07 36 00.570,+36 49 03.18,0.326,1.01,0.96,0.15,5.39,0.0,90.1,,,,1997.219,2450529.5,1.112
119.52447083,36.81723611,J075805.8+364902,FITS,07 58 05.873,+36 49 02.05,0.014,7.26,15.58,0.14,7.39,4.19,24.3,,,,1994.554,2449555.7,1.657
176.39609583,36.81721389,J114535.0+364901,FITS,11 45 35.063,+36 49 01.97,0.014,4.12,3.52,0.181,0.0,0.0,26.0,,g,,1994.552,2449554.9,2.443
128.38610833,36.81702778,J083332.6+364901,FITS,08 33 32.666,+36 49 01.30,0.014,1.84,1.71,0.148,0.75,0.0,89.5,,g,,1994.551,2449554.7,2.487
198.06006667,36.81698611,J131214.4+364901,FITS,13 12 14.416,+36 49 01.15,0.014,2.41,2.64,0.156,2.15,1.09,114.4,,s,,1994.55,2449554.4,2.667
261.13275417,36.81683611,J172431.8+364900,FITS,17 24 31.861,+36 49 00.61,0.014,2.55,4.45,0.15,8.14,0.0,24.4,,,,1994.569,2449561.2,16.605
222.59675833,36.816775,J145023.2+364900,FITS,14 50 23.222,+36 49 00.39,0.014,14.4,14.56,0.151,0.95,0.0,21.8,,,,1994.552,2449555.1,2.411
154.94302083,36.81675278,J101946.3+364900,FITS,10 19 46.325,+36 49 00.31,0.014,4.04,3.76,0.138,0.56,0.0,24.8,,,,1994.567,2449560.5,13.118
182.273875,36.81651667,J120905.7+364859,FITS,12 09 05.730,+36 48 59.46,0.014,1.54,0.87,0.154,0.0,0.0,78.2,,g,,1994.55,2449554.2,2.694
244.6486625,36.81636111,J161835.6+364858,FITS,16 18 35.679,+36 48 58.90,0.014,31.18,31.7,0.149,0.98,0.16,64.2,,,,1994.599,2449572.3,89.226
137.68784167,36.81631389,J091045.0+364858,FITS,09 10 45.082,+36 48 58.73,0.014,1.56,1.07,0.135,0.0,0.0,175.6,,,,1994.555,2449555.9,1.41
160.76266667,36.81626944,J104303.0+364858,FITS,10 43 03.040,+36 48 58.57,0.308,1.13,1.05,0.153,4.53,0.0,66.9,,,,1994.557,2449556.8,7.308
201.83970417,36.81610833,J132721.5+364857,FITS,13 27 21.529,+36 48 57.99,0.209,1.32,3.33,0.154,8.97,4.5,29.6,,s,,1994.575,2449563.2,19.029
210.1939,36.816075,J140046.5+364857,FITS,14 00 46.536,+36 48 57.87,0.014,1.9,1.92,0.146,3.68,0.0,77.7,,,,1994.553,2449555.4,2.192
183.7033375,36.81605278,J121448.8+364857,FITS,12 14 48.801,+36 48 57.79,0.027,1.3,1.46,0.153,3.54,0.0,15.5,,s,,1994.55,2449554.3,2.679
144.13952917,36.815975,J093633.4+364857,FITS,09 36 33.487,+36 48 57.51,0.014,17.98,17.94,0.152,0.92,0.0,67.4,,g,,1994.551,2449554.8,2.478
114.0413,36.81595556,J073609.9+364857,FITS,07 36 09.912,+36 48 57.44,0.014,32.49,37.34,0.149,2.44,1.69,116.8,,s,,1997.219,2450529.5,1.087
141.6359,36.81581111,J092632.6+364856,FITS,09 26 32.616,+36 48 56.92,0.014,11.58,12.45,0.153,1.6,1.34,0.0,,,,1994.551,2449554.5,2.575
111.65804167,36.81575556,J072637.9+364856,FITS,07 26 37.930,+36 48 56.72,0.014,4.03,8.65,0.146,7.44,4.14,164.4,,,,1997.219,2450529.5,1.018
191.3521375,36.81571944,J124524.5+364856,FITS,12 45 24.513,+36 48 56.59,0.014,4.77,4.08,0.154,0.0,0.0,91.6,,g,,1994.551,2449554.6,2.591
219.1475125,36.81555278,J143635.4+364855,FITS,14 36 35.403,+36 48 55.99,0.014,1.59,1.32,0.151,2.7,0.0,169.1,,g,,1994.552,2449555.0,2.444
127.99788333,36.81548056,J083159.4+364855,FITS,08 31 59.492,+36 48 55.73,0.014,194.81,199.62,0.14,0.97,0.7,151.1,,g,,1994.554,2449555.6,1.82
179.7759625,36.81546667,J115906.2+364855,FITS,11 59 06.231,+36 48 55.68,0.014,16.13,16.22,0.14,0.99,0.0,154.8,,,,1994.554,2449555.6,2.007
206.19357917,36.81545278,J134446.4+364855,FITS,13 44 46.459,+36 48 55.63,0.65,1.09,2.47,0.156,9.21,2.96,125.2,,,,1994.55,2449554.4,2.67
