_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
229.33994167,9.40241389,J151721.5+092408,FITS,15 17 21.586,+09 24 08.69,0.014,1.53,1.16,0.153,0.0,0.0,179.6,,,,2000.054,2451564.3,0.383
348.21504583,9.40228611,J231251.6+092408,FITS,23 12 51.611,+09 24 08.23,0.248,3.84,4.2,0.583,2.5,0.96,152.7,,,,2009.37,2454967.6,1.697
329.49125417,9.40228333,J215757.9+092408,FITS,21 57 57.901,+09 24 08.22,0.174,1.55,1.39,0.123,3.21,0.0,175.8,,g,,2009.373,2454968.5,1.446
226.16286667,9.40227778,J150439.0+092408,FITS,15 04 39.088,+09 24 08.20,0.756,1.22,1.45,0.189,2.38,2.34,90.0,,s,,2000.053,2451564.0,0.358
215.17045417,9.40226667,J142040.9+092408,FITS,14 20 40.909,+09 24 08.16,0.014,27.31,34.47,0.154,3.86,1.26,162.5,,,,2000.051,2451563.2,1.308
119.74732917,9.40220833,J075859.3+092407,FITS,07 58 59.359,+09 24 07.95,0.014,1.46,16.39,0.142,20.12,14.79,175.8,,g,,2000.052,2451563.5,0.704
311.87328333,9.4022,J204729.5+092407,FITS,20 47 29.588,+09 24 07.92,0.122,1.66,4.06,0.219,8.14,6.1,149.5,,g,,2011.262,2455658.3,8.344
135.64449583,9.40216667,J090234.6+092407,FITS,09 02 34.679,+09 24 07.80,0.014,1.79,1.45,0.154,0.0,0.0,129.9,,,,2000.05,2451563.0,1.283
207.01387083,9.40216111,J134803.3+092407,FITS,13 48 03.329,+09 24 07.78,0.014,5.01,4.94,0.15,1.41,0.0,91.6,,,,2000.051,2451563.0,1.367
171.78634583,9.402075,J112708.7+092407,FITS,11 27 08.723,+09 24 07.47,0.014,1.42,1.41,0.15,3.69,0.0,126.3,,,,2000.05,2451562.9,1.388
169.70536667,9.40200556,J111849.2+092407,FITS,11 18 49.288,+09 24 07.22,0.102,1.51,3.1,0.15,8.87,2.1,91.6,,g,,2000.052,2451563.5,0.992
119.74589167,9.40195278,J075859.0+092407,FITS,07 58 59.014,+09 24 07.03,0.014,1.73,12.18,0.142,20.98,7.79,129.8,,s,,2000.052,2451563.5,0.697
215.77919167,9.40193333,J142307.0+092406,FITS,14 23 07.006,+09 24 06.96,0.014,1.17,0.76,0.147,0.0,0.0,31.9,,,,2000.052,2451563.7,0.884
237.88781667,9.40191111,J155133.0+092406,FITS,15 51 33.076,+09 24 06.88,0.014,2.71,3.46,0.154,3.13,2.52,0.0,,g,,2000.054,2451564.3,0.403
127.74833333,9.40183056,J083059.6+092406,FITS,08 30 59.600,+09 24 06.59,0.014,15.78,28.99,0.148,5.59,4.29,53.6,,,,2000.052,2451563.5,0.721
326.76512083,9.40158611,J214703.6+092405,FITS,21 47 03.629,+09 24 05.71,0.73,1.29,1.71,0.189,5.0,0.0,72.2,,,,2009.375,2454969.2,0.375
18.6790125,9.40143611,J011442.9+092405,FITS,01 14 42.963,+09 24 05.17,0.193,1.93,2.26,0.214,3.34,0.0,90.0,,,,2009.376,2454969.8,0.493
0.28060417,9.401425,J000107.3+092405,FITS,00 01 07.345,+09 24 05.13,0.014,1.01,0.69,0.11,1.08,0.0,125.6,,,,2009.254,2454925.3,15.96
9.28053333,9.40139444,J003707.3+092405,FITS,00 37 07.328,+09 24 05.02,0.014,2.02,1.56,0.121,1.26,0.0,69.4,,g,,2009.375,2454969.2,0.288
155.73062083,9.40131944,J102255.3+092404,FITS,10 22 55.349,+09 24 04.75,0.014,1.18,0.76,0.141,0.0,0.0,32.2,,,,2000.052,2451563.7,0.677
357.81718333,9.40126667,J235116.1+092404,FITS,23 51 16.124,+09 24 04.56,0.014,1.25,3.25,0.132,11.55,4.09,6.4,,g,,2009.356,2454962.6,12.502
142.95107917,9.40120278,J093148.2+092404,FITS,09 31 48.259,+09 24 04.33,0.014,2.79,2.79,0.137,1.26,0.0,69.4,,g,,2000.052,2451563.7,0.519
131.92693333,9.40105833,J084742.4+092403,FITS,08 47 42.464,+09 24 03.81,0.014,2.07,1.73,0.152,0.0,0.0,8.6,,,,2000.05,2451562.9,1.327
19.27064583,9.40099722,J011704.9+092403,FITS,01 17 04.955,+09 24 03.59,0.014,2.66,2.65,0.126,3.9,0.0,69.6,,s,,2009.375,2454969.4,0.389
