_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
174.074625,36.31683056,J113617.9+361900,FITS,11 36 17.910,+36 19 00.59,0.014,15.72,16.54,0.151,1.38,1.07,116.9,,g,,1994.532,2449547.6,2.871
118.03036667,36.31681111,J075207.2+361900,FITS,07 52 07.288,+36 19 00.52,0.014,3.69,4.77,0.133,3.8,1.87,28.3,,s,,1994.535,2449548.8,1.673
188.3687375,36.31663611,J123328.4+361859,FITS,12 33 28.497,+36 18 59.89,0.014,4.12,3.29,0.149,0.0,0.0,89.8,,,,1994.532,2449547.9,2.746
190.88690833,36.31659167,J124332.8+361859,FITS,12 43 32.858,+36 18 59.73,0.492,1.02,0.99,0.137,3.16,0.0,125.4,,g,,1994.536,2449549.1,1.35
208.1451,36.31656111,J135234.8+361859,FITS,13 52 34.824,+36 18 59.62,0.061,1.04,0.82,0.132,2.05,0.0,60.1,,g,,1994.536,2449549.1,1.362
219.32576667,36.31645,J143718.1+361859,FITS,14 37 18.184,+36 18 59.22,0.014,35.75,36.69,0.129,1.14,0.48,35.4,,s,,1994.536,2449549.2,1.349
255.65032917,36.31640278,J170236.0+361859,FITS,17 02 36.079,+36 18 59.05,0.014,2.97,2.76,0.147,0.88,0.0,13.8,,,,1994.533,2449547.9,2.798
205.94112083,36.316325,J134345.8+361858,FITS,13 43 45.869,+36 18 58.77,0.014,2.18,1.72,0.13,0.0,0.0,119.7,,g,,1994.536,2449549.2,1.469
144.58024167,36.31628056,J093819.2+361858,FITS,09 38 19.258,+36 18 58.61,0.014,10.64,11.38,0.202,1.89,0.73,21.3,,s,,1994.533,2449548.2,2.462
131.63390417,36.31621944,J084632.1+361858,FITS,08 46 32.137,+36 18 58.39,0.014,1.52,4.32,0.132,10.47,4.47,28.0,,,,1994.535,2449548.9,1.35
251.95070833,36.31620833,J164748.1+361858,FITS,16 47 48.170,+36 18 58.35,0.638,1.01,0.93,0.151,3.76,0.0,57.9,,,,1994.532,2449547.7,2.919
114.9157875,36.31615556,J073939.7+361858,FITS,07 39 39.789,+36 18 58.16,0.042,1.57,3.91,0.141,9.78,3.62,130.9,,g,,1997.205,2450524.5,2.646
144.896575,36.31608056,J093935.1+361857,FITS,09 39 35.178,+36 18 57.89,0.105,2.2,1.77,0.215,0.0,0.0,152.6,,g,,1994.533,2449548.0,2.603
182.295225,36.31601667,J120910.8+361857,FITS,12 09 10.854,+36 18 57.66,0.728,1.03,0.95,0.15,0.0,0.0,0.5,,,,1994.531,2449547.5,2.924
150.71025417,36.31599167,J100250.4+361857,FITS,10 02 50.461,+36 18 57.57,0.014,1.31,0.89,0.149,0.0,0.0,91.2,,g,,1994.664,2449595.9,145.426
220.15899583,36.315975,J144038.1+361857,FITS,14 40 38.159,+36 18 57.51,0.014,2.16,1.85,0.129,3.07,0.0,1.0,,,,1994.536,2449549.1,1.398
231.47459583,36.31594167,J152553.9+361857,FITS,15 25 53.903,+36 18 57.39,0.014,3.8,6.93,0.129,6.13,3.64,128.2,,g,,1994.536,2449549.1,1.714
200.69842083,36.31589444,J132247.6+361857,FITS,13 22 47.621,+36 18 57.22,0.039,1.18,1.04,0.133,2.0,0.0,175.0,,,,1994.536,2449549.1,1.524
262.9317,36.31570278,J173143.6+361856,FITS,17 31 43.608,+36 18 56.53,0.014,2.67,2.28,0.14,0.0,0.0,104.3,,g,,1994.537,2449549.7,0.0
257.70153333,36.31569444,J171048.3+361856,FITS,17 10 48.368,+36 18 56.50,0.014,5.31,5.49,0.13,1.86,0.0,62.6,,,,1994.536,2449549.2,1.548
253.1820375,36.31566111,J165243.6+361856,FITS,16 52 43.689,+36 18 56.38,0.039,1.19,1.08,0.131,0.0,0.0,88.0,,,,1994.536,2449549.3,1.409
129.82816667,36.315625,J083918.7+361856,FITS,08 39 18.760,+36 18 56.25,0.014,5.07,5.63,0.148,2.49,0.65,54.3,,g,,1994.531,2449547.4,2.862
163.77334583,36.31556389,J105505.6+361856,FITS,10 55 05.603,+36 18 56.03,0.014,3.5,2.97,0.13,0.0,0.0,7.0,,,,1994.535,2449548.9,1.732
196.388025,36.31555278,J130533.1+361855,FITS,13 05 33.126,+36 18 55.99,0.014,4.91,5.09,0.151,1.95,0.0,92.8,,g,,1994.532,2449547.8,2.777
113.93239167,36.31534444,J073543.7+361855,FITS,07 35 43.774,+36 18 55.24,0.014,31.23,47.64,0.194,5.7,1.71,54.3,,s,,1997.204,2450523.8,3.134
174.0705,36.31473056,J113616.9+361853,FITS,11 36 16.920,+36 18 53.03,0.014,8.87,9.87,0.151,2.12,1.47,0.4,,,,1994.531,2449547.5,2.878
204.43994167,36.31464444,J133745.5+361852,FITS,13 37 45.586,+36 18 52.72,0.305,1.01,1.36,0.133,5.37,0.0,29.3,,,,1994.536,2449549.1,1.471
225.0781625,36.31426944,J150018.7+361851,FITS,15 00 18.759,+36 18 51.37,0.016,1.36,1.63,0.15,4.17,0.0,46.2,,g,,1994.532,2449547.7,2.86
231.09384167,36.31419444,J152422.5+361851,FITS,15 24 22.522,+36 18 51.10,0.037,1.17,5.19,0.146,14.43,6.43,20.7,,,,1994.532,2449547.8,2.817
257.0993625,36.31415833,J170823.8+361850,FITS,17 08 23.847,+36 18 50.97,0.014,15.88,15.7,0.145,0.0,0.0,90.0,,,,1994.534,2449548.3,2.585
160.64961667,36.31413611,J104235.9+361850,FITS,10 42 35.908,+36 18 50.89,0.014,3.86,4.6,0.148,3.35,0.79,61.4,,g,,1994.533,2449548.0,2.592
122.8715125,36.31409167,J081129.1+361850,FITS,08 11 29.163,+36 18 50.73,0.014,1.55,1.29,0.155,1.07,0.0,19.5,,g,,1994.532,2449547.7,2.703
115.64910417,36.31401944,J074235.7+361850,FITS,07 42 35.785,+36 18 50.47,0.262,1.01,1.22,0.142,4.81,0.0,31.9,,s,,1997.205,2450524.3,2.767
129.763825,36.31399722,J083903.3+361850,FITS,08 39 03.318,+36 18 50.39,0.072,1.92,2.63,0.149,6.26,0.0,80.7,,g,,1994.531,2449547.2,2.944
241.19972083,36.31394444,J160447.9+361850,FITS,16 04 47.933,+36 18 50.20,0.014,3.31,3.0,0.128,0.0,0.0,102.0,,s,,1994.536,2449549.2,1.546
160.64165,36.31393333,J104233.9+361850,FITS,10 42 33.996,+36 18 50.16,0.726,1.06,0.86,0.149,2.58,0.0,38.7,,g,,1994.533,2449547.9,2.636
134.06389583,36.31385833,J085615.3+361849,FITS,08 56 15.335,+36 18 49.89,0.014,2.26,1.37,0.142,0.0,0.0,0.0,,g,,1994.533,2449548.2,2.366
201.9134125,36.31376389,J132739.2+361849,FITS,13 27 39.219,+36 18 49.55,0.153,1.08,1.82,0.142,7.3,0.66,30.3,,g,,1994.533,2449548.2,2.512
114.78987917,36.31372778,J073909.5+361849,FITS,07 39 09.571,+36 18 49.42,0.352,1.02,1.22,0.149,3.53,0.46,177.2,,,,1997.203,2450523.7,3.186
252.93117917,36.313675,J165143.4+361849,FITS,16 51 43.483,+36 18 49.23,0.014,21.43,23.19,0.139,1.85,1.18,33.4,,g,,1994.534,2449548.5,2.4
168.0416,36.31353611,J111209.9+361848,FITS,11 12 09.984,+36 18 48.73,0.014,2.75,2.99,0.152,1.82,1.37,90.0,,s,,1994.531,2449547.3,2.922
115.53564167,36.31352778,J074208.5+361848,FITS,07 42 08.554,+36 18 48.70,0.014,6.06,6.13,0.147,1.2,0.0,54.2,,,,1997.203,2450523.7,3.191
229.2339125,36.31347222,J151656.1+361848,FITS,15 16 56.139,+36 18 48.50,0.014,6.9,9.67,0.133,4.01,2.78,100.6,,g,,1994.536,2449549.0,1.798
178.83957083,36.31341667,J115521.4+361848,FITS,11 55 21.497,+36 18 48.30,0.014,6.15,6.26,0.13,1.19,0.0,172.9,,g,,1994.536,2449549.0,1.421
199.8633875,36.31327222,J131927.2+361847,FITS,13 19 27.213,+36 18 47.78,0.098,1.12,1.15,0.133,1.07,0.67,1.0,,s,,1994.536,2449549.1,1.375
220.90431667,36.31284444,J144337.0+361846,FITS,14 43 37.036,+36 18 46.24,0.279,1.01,3.68,0.133,13.93,4.68,69.2,,,,1994.536,2449549.1,1.409
194.98655,36.31276111,J125956.7+361845,FITS,12 59 56.772,+36 18 45.94,0.014,3.0,2.5,0.151,0.0,0.0,90.4,,,,1994.531,2449547.3,2.939
123.35676667,36.31264722,J081325.6+361845,FITS,08 13 25.624,+36 18 45.53,0.193,1.02,2.23,0.134,9.47,2.16,39.8,,g,,1994.535,2449548.9,1.388
135.661175,36.31233611,J090238.6+361844,FITS,09 02 38.682,+36 18 44.41,0.014,2.13,2.03,0.15,3.12,0.0,90.5,,g,,1994.531,2449547.5,2.83
231.09465833,36.31225556,J152422.7+361844,FITS,15 24 22.718,+36 18 44.12,0.15,1.06,3.06,0.145,8.0,6.85,11.6,,s,,1994.532,2449547.8,2.814
181.06800417,36.31222222,J120416.3+361844,FITS,12 04 16.321,+36 18 44.00,0.014,3.46,4.19,0.129,3.73,0.0,83.4,,g,,1994.536,2449549.1,1.43
221.16777083,36.312175,J144440.2+361843,FITS,14 44 40.265,+36 18 43.83,0.014,2.06,9.97,0.153,10.89,10.24,37.4,,,,1994.532,2449547.6,2.847
116.94996667,36.312075,J074747.9+361843,FITS,07 47 47.992,+36 18 43.47,0.014,5.8,6.45,0.152,2.43,0.92,126.6,,g,,1994.531,2449547.2,2.907
175.57272917,36.31165556,J114217.4+361841,FITS,11 42 17.455,+36 18 41.96,0.014,2.11,2.61,0.149,4.77,0.0,117.8,,s,,1994.531,2449547.5,2.868
147.37682083,36.31164444,J094930.4+361841,FITS,09 49 30.437,+36 18 41.92,0.492,1.04,1.5,0.137,8.6,0.0,43.2,,,,1994.536,2449548.9,1.381
229.90575417,36.311575,J151937.3+361841,FITS,15 19 37.381,+36 18 41.67,0.172,1.08,2.21,0.135,7.79,3.21,168.6,,g,,1994.536,2449549.2,1.422
141.05400833,36.31153333,J092412.9+361841,FITS,09 24 12.962,+36 18 41.52,0.235,1.2,1.49,0.155,5.9,0.0,65.5,,,,1994.531,2449547.3,2.9
229.237625,36.31144167,J151657.0+361841,FITS,15 16 57.030,+36 18 41.19,0.014,2.4,4.67,0.133,5.76,4.74,88.3,,s,,1994.536,2449549.0,1.838
146.72607083,36.31142222,J094654.2+361841,FITS,09 46 54.257,+36 18 41.12,0.014,37.02,38.69,0.133,1.18,1.12,90.0,,s,,1994.535,2449548.8,1.753
229.9033125,36.31106389,J151936.7+361839,FITS,15 19 36.795,+36 18 39.83,0.039,1.28,2.62,0.135,5.85,5.22,10.9,,,,1994.536,2449549.2,1.42
244.22844583,36.31102778,J161654.8+361839,FITS,16 16 54.827,+36 18 39.70,0.014,18.05,18.16,0.138,0.54,0.27,90.1,,g,,1994.536,2449549.0,1.773
199.6294,36.31101667,J131831.0+361839,FITS,13 18 31.056,+36 18 39.66,0.014,2.95,4.86,0.147,7.18,0.0,17.0,,,,1994.532,2449547.9,2.703
248.91681667,36.31100556,J163540.0+361839,FITS,16 35 40.036,+36 18 39.62,0.014,10.39,9.93,0.148,0.0,0.0,9.2,,g,,1994.532,2449547.7,2.843
176.0020625,36.31092778,J114400.4+361839,FITS,11 44 00.495,+36 18 39.34,0.014,2.03,1.87,0.133,2.51,0.0,13.4,,g,,1994.535,2449548.7,1.946
210.0057125,36.31091667,J140001.3+361839,FITS,14 00 01.371,+36 18 39.30,0.02,1.1,0.97,0.147,0.0,0.0,178.4,,g,,1994.531,2449547.3,2.933
160.35494583,36.31079444,J104125.1+361838,FITS,10 41 25.187,+36 18 38.86,0.014,187.14,196.92,0.148,1.72,0.41,66.7,,g,,1994.533,2449547.9,2.625
124.89526667,36.31077222,J081934.8+361838,FITS,08 19 34.864,+36 18 38.78,0.014,4.11,3.78,0.133,0.0,0.0,89.9,,,,1994.535,2449548.9,1.405
143.70009167,36.31057778,J093448.0+361838,FITS,09 34 48.022,+36 18 38.08,0.04,1.09,1.51,0.135,5.41,0.0,39.8,,s,,1994.535,2449548.9,1.57
186.79634583,36.31057222,J122711.1+361838,FITS,12 27 11.123,+36 18 38.06,0.502,2.22,1.07,0.372,0.0,0.0,71.3,,,,1994.531,2449547.3,2.907
129.00735833,36.31026667,J083601.7+361836,FITS,08 36 01.766,+36 18 36.96,0.014,1.33,0.99,0.147,0.0,0.0,124.8,,g,,1994.53,2449547.1,2.931
231.58055833,36.31006111,J152619.3+361836,FITS,15 26 19.334,+36 18 36.22,0.014,6.25,6.31,0.138,1.18,0.0,163.0,,g,,1994.534,2449548.3,2.489
181.06831667,36.31002778,J120416.3+361836,FITS,12 04 16.396,+36 18 36.10,0.014,5.52,7.69,0.13,4.55,1.99,171.9,,,,1994.536,2449549.0,1.411
242.18657083,36.30979722,J160844.7+361835,FITS,16 08 44.777,+36 18 35.27,0.029,1.14,1.05,0.144,2.46,0.0,26.5,,,,1994.532,2449547.5,2.88
160.31462083,36.309775,J104115.5+361835,FITS,10 41 15.509,+36 18 35.19,0.014,2.08,2.02,0.143,2.22,0.0,12.8,,g,,1994.533,2449548.2,2.39
243.87526667,36.30976944,J161530.0+361835,FITS,16 15 30.064,+36 18 35.17,0.492,1.08,2.91,0.149,8.96,5.3,69.6,,,,1994.533,2449547.9,2.723
143.70350417,36.30976389,J093448.8+361835,FITS,09 34 48.841,+36 18 35.15,0.014,2.39,2.6,0.135,3.77,0.0,122.9,,,,1994.535,2449548.9,1.6
237.52469583,36.30975556,J155005.9+361835,FITS,15 50 05.927,+36 18 35.12,0.014,1.16,2.96,0.135,9.76,3.88,155.4,,g,,1994.535,2449548.7,2.117
210.77344167,36.30973611,J140305.6+361835,FITS,14 03 05.626,+36 18 35.05,0.014,4.01,3.79,0.146,1.61,0.0,142.3,,g,,1994.531,2449547.3,2.922
114.43802917,36.3097,J073745.1+361834,FITS,07 37 45.127,+36 18 34.92,0.095,1.14,1.32,0.136,4.23,0.0,61.5,,g,,1997.207,2450525.2,1.536
217.57316667,36.30964444,J143017.5+361834,FITS,14 30 17.560,+36 18 34.72,0.014,1.72,1.76,0.148,2.56,0.0,177.3,,s,,1994.532,2449547.5,2.863
