_RAJ2000,_DEJ2000,FIRST,FITS,RAJ2000,DEJ2000,p(S),Fpeak,Fint,Rms,Maj,Min,PA,N1,c1,N2,Ep,Ep(JD),s_Ep(JD)
188.0585,5.12431389,J123214.0+050727,FITS,12 32 14.040,+05 07 27.53,0.158,1.05,1.8,0.15,5.29,3.76,17.0,,g,,2000.117,2451587.4,0.522
228.6968125,5.12421667,J151447.2+050727,FITS,15 14 47.235,+05 07 27.18,0.014,2.75,6.93,0.139,6.82,6.51,163.6,,s,,2000.117,2451587.3,0.508
209.7428875,5.12417222,J135858.2+050727,FITS,13 58 58.293,+05 07 27.02,0.014,3.95,3.8,0.149,1.02,0.0,59.4,,,,2000.118,2451587.5,0.704
319.08046667,5.12398611,J211619.3+050726,FITS,21 16 19.312,+05 07 26.35,0.014,249.27,312.52,0.109,3.82,1.64,119.3,,s,,2009.227,2454915.5,14.371
164.19606667,5.12392778,J105647.0+050726,FITS,10 56 47.056,+05 07 26.14,0.014,2.77,2.86,0.142,1.87,0.0,79.9,,g,,2000.116,2451587.0,0.535
189.98017083,5.12381389,J123955.2+050725,FITS,12 39 55.241,+05 07 25.73,0.014,7.44,9.04,0.155,3.78,0.0,46.6,,,,2000.117,2451587.5,0.524
176.64698333,5.12374444,J114635.2+050725,FITS,11 46 35.276,+05 07 25.48,0.014,17.62,19.77,0.146,2.5,1.03,48.7,,g,,2000.118,2451587.7,0.425
2.35065,5.12369722,J000924.1+050725,FITS,00 09 24.156,+05 07 25.31,0.014,64.36,69.86,0.124,2.03,1.15,87.2,,s,,2009.304,2454943.6,18.372
320.4294125,5.12368056,J212143.0+050725,FITS,21 21 43.059,+05 07 25.25,0.014,31.08,32.26,0.128,1.27,0.92,75.2,,,,2009.281,2454935.0,21.083
149.65757083,5.12365556,J095837.8+050725,FITS,09 58 37.817,+05 07 25.16,0.014,2.33,2.9,0.144,3.41,1.81,145.1,,g,,2000.118,2451587.7,0.376
196.48128333,5.12364444,J130555.5+050725,FITS,13 05 55.508,+05 07 25.12,0.014,1.86,2.04,0.138,2.23,0.9,179.3,,g,,2000.116,2451587.1,0.508
47.84534167,5.12355278,J031122.8+050724,FITS,03 11 22.882,+05 07 24.79,0.081,3.98,9.16,0.159,8.53,4.59,89.0,,,,2011.303,2455673.1,3.266
313.79410833,5.12355278,J205510.5+050724,FITS,20 55 10.586,+05 07 24.79,0.014,2.59,3.83,0.143,4.29,3.88,16.4,,s,,2011.295,2455670.0,3.119
208.86962083,5.12351111,J135528.7+050724,FITS,13 55 28.709,+05 07 24.64,0.014,40.44,52.12,0.144,3.5,2.22,3.5,,,,2000.118,2451587.7,0.739
133.32593333,5.12342778,J085318.2+050724,FITS,08 53 18.224,+05 07 24.34,0.014,6.09,6.49,0.151,1.96,0.3,124.2,,,,2000.118,2451587.7,0.298
344.64640833,5.12326667,J225835.1+050723,FITS,22 58 35.138,+05 07 23.76,0.014,3.09,6.83,0.129,7.88,5.16,27.3,,g,,2009.23,2454916.4,7.008
0.0795125,5.12325,J000019.0+050723,FITS,00 00 19.083,+05 07 23.70,0.016,1.04,0.71,0.124,3.23,0.0,83.1,,g,,2009.299,2454941.6,18.581
